,Line,Product,Time_min,Time_max,Order,Time_min_1,Time_max_1,Time_min_f,Time_max_f
0,01,A,0,112,2.0,0.0,113.0,0,112
1,01,D,113,130,1.0,112.0,130.0,113,131
2,02,54,0,67,2.0,0.0,69.0,0,67
3,02,62,69,131,1.0,67.0,131.0,68,131
4,13,54,25,61,2.0,25.0,72.0,25,66
5,13,62,72,130,1.0,61.0,130.0,67,131
7,14,A,0,101,2.0,0.0,107.0,0,103
6,14,62,107,129,1.0,101.0,129.0,104,131
8,15,A,0,101,2.0,0.0,113.0,0,106
9,15,D,113,131,1.0,101.0,131.0,107,131
10,16,54,0,122,1.0,0.0,122.0,0,131
11,17,A,0,131,1.0,0.0,131.0,0,131
14,18,A,0,67,4.0,0.0,71.0,0,68
15,18,D,71,115,3.0,67.0,119.0,69,116
12,18,54,119,120,2.0,115.0,121.0,117,120
13,18,62,121,131,1.0,120.0,131.0,121,131
16,19,A,0,118,2.0,0.0,119.0,0,118
17,19,D,119,131,1.0,118.0,131.0,119,131
18,1A,A,2,60,2.0,2.0,75.0,2,67
19,1A,D,75,127,1.0,60.0,127.0,68,131
20,20,54,3,43,2.0,3.0,44.0,3,43
21,20,62,44,128,1.0,43.0,128.0,44,131
22,2A,62,2,116,1.0,2.0,116.0,2,131
