Line,Product,Tank,Volume_x,Volume_y,Volume_x,Volume_y,Volume_x,Volume_y,Volume_x,Volume_y
18,A,338,,148615.0,148615.0,,,,,
18,A,339,,155862.0,157521.0,,,297200.0,147899.99999999997,
18,D,312,37651.0,14500.0,,,26100.0,21000.0,29700.0,36800.0
18,D,316,5349.0,,,,,,,
18,D,337,,,28000.0,32500.0,16999.999999999996,,,
19,62,373,,,,,,,,
19,A,310,82919.0,,,,277100.0,198900.0,124500.0,76500.0
19,A,311,108115.0,,,,,,,
19,A,313,,,,,,30600.0,,
19,A,314,,,,,111999.9999999961,,,
19,A,317,,,289601.0,245788.0,,,,
19,A,330,,,,5000.0,,,,
19,A,331,,3915.0,,,,,,
19,A,332,,104486.0,,,,155899.99999999997,,117300.0
19,A,333,197466.0,194237.0,,,,,,61200.0
19,A,334,,104362.0,104399.0,,,,4000.0,
19,A,338,,,,,,23300.0,5100.0,
19,A,339,,,,,,,260399.9999999998,
19,D,312,,45000.0,,35000.0,65999.99999999996,47700.0,71300.00000000003,45000.0
19,D,316,,,65000.0,,,,,
19,D,337,55500.0,,,,,,,
1A,A,310,,,,,,,38000.0,11000.0
1A,A,311,,,37500.0,,,,,
1A,A,314,,,,39000.0,,,,
1A,A,317,52000.0,25000.0,,,27999.99999999801,,,
1A,A,330,,67500.0,,,31000.0,,,
1A,A,333,,,,,,,,38000.0
1A,A,338,,,,,,93000.0,,
1A,D,312,,7500.0,,8500.0,13799.999999999995,10000.0,10000.0,9000.0
1A,D,316,,,7500.0,,,,,
1A,D,337,9000.0,,,,,,,
20,54,352,,,,,28000.0,60000.0,15500.0,44750.0
20,54,353,,,,,17000.0,,22500.0,
20,54,354,35000.0,31094.0,,42500.0,,,,
20,54,370,,18906.0,37500.0,,,,,
20,62,360,,42170.0,,,,,12250.0,
20,62,361,29281.0,,,,,,,15000.0
20,62,363,,,,,,,42900.0,
20,62,371,,,,55328.0,,60999.99999999999,18199.999999999047,5000.0
20,62,373,,18390.0,65612.0,,,,,8000.0
20,62,374,,,,,36000.0,,,
20,62,376,,,,,,,,38000.0
2A,62,360,,,,,,,10000.0,
2A,62,361,,,,,,,,13000.0
2A,62,371,12500.0,,,,,33000.0,,
2A,62,373,,32500.0,2500.0,12500.0,,,,
2A,62,374,,,,,23000.0,,,
