Key,Value
310,{'A': 148}
311,{'A': 94}
312,{'D': 126}
313,{'A': 2}
314,{'A': 0}
316,{'D': 4}
317,{'A': 0}
330,{'A': 33}
331,{'A': 4}
332,{'A': 0}
333,{'A': 0}
334,{'A': 70}
336,{'A': 4}
337,{'D': 5}
338,{'A': 22}
339,{'A': 10}
350,{'54': 4}
351,{'54': 46}
352,{'54': 52}
353,{'54': 0}
354,{'54': 25}
360,{'62': 68}
361,{'62': 122}
363,{'62': 47}
370,{'54': 0}
371,{'62': 130}
373,{'62': 193}
374,{'62': 160}
375,{'62': 55}
376,{'62': 104}
