,Line,Product,Time_min,Time_max,Order,Time_min_1,Time_max_1,Time_min_f,Time_max_f
0,01,A,0,111,2.0,0.0,122.0,0,116
1,01,D,122,130,1.0,111.0,130.0,117,131
2,02,54,0,70,2.0,0.0,71.0,0,70
3,02,62,71,131,1.0,70.0,131.0,71,131
4,13,62,1,129,1.0,1.0,129.0,1,131
6,14,A,0,54,3.0,0.0,55.0,0,54
7,14,D,55,81,2.0,54.0,85.0,55,82
5,14,62,85,131,1.0,81.0,131.0,83,131
8,15,A,0,117,2.0,0.0,120.0,0,118
9,15,D,120,131,1.0,117.0,131.0,119,131
10,16,54,0,131,1.0,0.0,131.0,0,131
12,17,A,0,50,2.0,0.0,52.0,0,50
11,17,62,52,131,1.0,50.0,131.0,51,131
15,18,A,0,34,4.0,0.0,39.0,0,36
16,18,D,39,53,3.0,34.0,56.0,37,54
13,18,54,56,58,2.0,53.0,59.0,55,58
14,18,62,59,131,1.0,58.0,131.0,59,131
17,19,A,0,118,2.0,0.0,121.0,0,119
18,19,D,121,129,1.0,118.0,129.0,120,131
19,1A,A,0,49,2.0,0.0,50.0,0,49
20,1A,D,50,127,1.0,49.0,127.0,50,131
21,20,54,0,47,2.0,0.0,51.0,0,48
22,20,62,51,129,1.0,47.0,129.0,49,131
23,2A,62,47,127,1.0,47.0,127.0,47,131
