,Line,Product,Time_min,Time_max,Order,Time_min_1,Time_max_1,Time_min_f,Time_max_f
0,01,A,0,107,2.0,0.0,111.0,0,108
1,01,D,111,130,1.0,107.0,130.0,109,131
2,02,54,0,46,2.0,0.0,48.0,0,46
3,02,62,48,131,1.0,46.0,131.0,47,131
4,13,54,8,40,2.0,8.0,41.0,8,40
5,13,62,41,129,1.0,40.0,129.0,41,131
7,14,A,0,53,3.0,0.0,54.0,0,53
8,14,D,54,66,2.0,53.0,67.0,54,66
6,14,62,67,131,1.0,66.0,131.0,67,131
9,15,A,0,109,2.0,0.0,110.0,0,109
10,15,D,110,130,1.0,109.0,130.0,110,131
11,16,54,0,131,1.0,0.0,131.0,0,131
13,17,A,0,101,2.0,0.0,105.0,0,102
12,17,62,105,130,1.0,101.0,130.0,103,131
16,18,A,0,72,4.0,0.0,75.0,0,73
17,18,D,75,85,3.0,72.0,87.0,74,85
14,18,54,87,87,2.0,85.0,90.0,86,88
15,18,62,90,131,1.0,87.0,131.0,89,131
18,19,A,0,121,2.0,0.0,123.0,0,121
19,19,D,123,131,1.0,121.0,131.0,122,131
20,1A,A,1,129,2.0,1.0,130.0,1,129
21,1A,D,130,131,1.0,129.0,131.0,130,131
22,20,54,0,52,2.0,0.0,53.0,0,52
23,20,62,53,130,1.0,52.0,130.0,53,131
24,2A,62,26,125,1.0,26.0,125.0,26,131
