,Tank,Line,Product,Flag2,Time_min,Time_max,Volume,Start_Date_Time,Finish_Date_Time,Volume_Exists
67,352,14,54,71,73,80,68.95000000000178,2023-01-25 03:00:00,2023-01-25 11:00:00,6
68,352,14,54,72,86,88,20.000999999999998,2023-01-25 16:00:00,2023-01-25 19:00:00,6
69,352,16,54,73,83,103,45.599999999999994,2023-01-25 13:00:00,2023-01-26 10:00:00,6
70,352,16,54,74,105,141,78.88600000000001,2023-01-26 11:00:00,2023-01-28 00:00:00,6
71,352,17,54,75,57,57,6.0,2023-01-24 11:00:00,2023-01-24 12:00:00,6
72,352,17,54,76,92,92,0.000999999999995893,2023-01-25 22:00:00,2023-01-25 23:00:00,6
73,352,18,54,77,129,130,11.5,2023-01-27 11:00:00,2023-01-27 13:00:00,6
74,352,19,54,78,73,73,10.0,2023-01-25 03:00:00,2023-01-25 04:00:00,6
75,352,19,54,79,78,80,20.000999999999998,2023-01-25 08:00:00,2023-01-25 11:00:00,6
76,352,19,54,80,85,89,27.05099999999781,2023-01-25 15:00:00,2023-01-25 20:00:00,6
77,352,20,54,81,97,99,4.374,2023-01-26 03:00:00,2023-01-26 06:00:00,6
78,352,2A,54,82,92,98,4.625000000004153,2023-01-25 22:00:00,2023-01-26 05:00:00,6
79,353,02,54,18,83,84,23.354,2023-01-25 13:00:00,2023-01-25 15:00:00,7
80,353,02,54,19,96,96,11.804,2023-01-26 02:00:00,2023-01-26 03:00:00,7
81,353,13,54,83,109,111,6.0,2023-01-26 15:00:00,2023-01-26 18:00:00,7
82,353,16,54,84,104,104,2.042,2023-01-26 10:00:00,2023-01-26 11:00:00,7
83,353,20,54,85,100,120,30.618,2023-01-26 06:00:00,2023-01-27 03:00:00,7
84,360,02,62,20,105,141,364.983,2023-01-26 11:00:00,2023-01-28 00:00:00,7
85,360,13,62,86,112,141,57.63,2023-01-26 18:00:00,2023-01-28 00:00:00,7
86,360,14,62,87,131,141,23.540000000000003,2023-01-27 13:00:00,2023-01-28 00:00:00,7
87,360,17,62,88,106,112,70.0,2023-01-26 12:00:00,2023-01-26 19:00:00,7
88,360,17,62,89,114,120,26.367000000000004,2023-01-26 20:00:00,2023-01-27 03:00:00,7
89,360,18,62,90,131,141,59.025999999999996,2023-01-27 13:00:00,2023-01-28 00:00:00,7
90,360,19,62,91,3,3,0.001,2023-01-22 05:00:00,2023-01-22 06:00:00,7
91,360,19,62,92,112,115,20.002000000000002,2023-01-26 18:00:00,2023-01-26 22:00:00,7
92,360,19,62,93,128,131,40.0,2023-01-27 10:00:00,2023-01-27 14:00:00,7
93,360,20,62,94,121,141,29.273999999999997,2023-01-27 03:00:00,2023-01-28 00:00:00,7
94,360,2A,62,95,125,128,12.499,2023-01-27 07:00:00,2023-01-27 11:00:00,7
