Cycle,Line,Product,Volume
031,01,A,1418
031,01,D,213
031,02,54,324
031,02,62,365
041,01,A,1650
041,01,D,190
041,02,54,325
041,02,62,779
051,01,A,1344
051,01,D,241
051,02,54,269
051,02,62,918
061,01,A,1003
061,01,D,202
061,02,54,345
061,02,62,899
071,01,A,1293
071,01,D,190
071,02,54,297
071,02,62,532
081,01,A,1424
081,01,D,172
081,02,54,311
081,02,62,904
