,Line,Product,Time_min,Time_max,Order,Time_min_1,Time_max_1,Time_min_f,Time_max_f
0,01,A,0,98,2.0,0.0,107.0,0,102
1,01,D,107,131,1.0,98.0,131.0,103,131
2,02,54,0,50,2.0,0.0,51.0,0,50
3,02,62,51,131,1.0,50.0,131.0,51,131
4,13,54,0,51,2.0,0.0,52.0,0,51
5,13,62,52,131,1.0,51.0,131.0,52,131
7,14,A,0,78,3.0,0.0,79.0,0,78
8,14,D,79,105,2.0,78.0,106.0,79,105
6,14,62,106,131,1.0,105.0,131.0,106,131
9,15,A,0,99,2.0,0.0,107.0,0,102
10,15,D,107,130,1.0,99.0,130.0,103,131
11,16,54,0,131,1.0,0.0,131.0,0,131
13,17,A,1,99,2.0,1.0,100.0,1,99
12,17,62,100,131,1.0,99.0,131.0,100,131
16,18,A,0,77,4.0,0.0,78.0,0,77
17,18,D,78,79,3.0,77.0,80.0,78,79
14,18,54,80,80,2.0,79.0,81.0,80,80
15,18,62,81,131,1.0,80.0,131.0,81,131
18,19,A,0,103,2.0,0.0,115.0,0,108
19,19,D,115,131,1.0,103.0,131.0,109,131
20,1A,A,1,127,2.0,1.0,128.0,1,127
21,1A,D,128,130,1.0,127.0,130.0,128,131
22,20,54,1,64,2.0,1.0,65.0,1,64
23,20,62,65,129,1.0,64.0,129.0,65,131
24,2A,62,63,119,1.0,63.0,119.0,63,131
