Line,Product,Tank,Volume_x,Volume_y,Volume_x,Volume_y,Volume_x,Volume_y,Volume_x,Volume_y
1A,A,311,,,37500.0,,,,,
1A,A,314,,,,39000.0,,,,
1A,A,317,52000.0,25000.0,,,,,,
1A,A,330,,67500.0,,,,,,
1A,A,333,,,,,,,,
1A,A,338,,,,,,,,47099.99999999787
1A,A,339,,,,,62000.0,98799.9999973137,48000.0,
1A,D,312,,7500.0,,8500.0,,,,
1A,D,316,,,7500.0,,,6000.0,,10900.000000006148
1A,D,337,9000.0,,,,19000.0,5000.0,8000.0,
20,54,351,,,,,,,,1000.0
20,54,352,,,,,43750.0,52500.0,48000.0,51799.99999999976
20,54,354,35000.0,31094.0,,42500.0,,,,
20,54,370,,18906.0,37500.0,,,,,
20,62,360,,42170.0,,,,,,
20,62,361,29281.0,,,,,,,
20,62,363,,,,,,,8000.000000002519,
20,62,371,,,,55328.0,,64750.0,,
20,62,373,,18390.0,65612.0,,40000.0,,,
20,62,374,,,,,,,4000.0,61500.0
20,62,376,,,,,,,61800.00171151072,
2A,62,371,12500.0,,,,,37000.00000000012,,
2A,62,373,,32500.0,2500.0,12500.0,23000.0,,,
2A,62,374,,,,,,,2000.0,13000.0
2A,62,376,,,,,,,11000.0,
