,Line,Product,Time_min,Time_max,Order,Time_min_1,Time_max_1,Time_min_f,Time_max_f
0,01,A,0,103,2.0,0.0,110.0,0,106
1,01,D,110,131,1.0,103.0,131.0,107,131
2,02,54,0,36,2.0,0.0,37.0,0,36
3,02,62,37,131,1.0,36.0,131.0,37,131
4,13,62,0,128,1.0,0.0,128.0,0,131
6,14,A,0,63,3.0,0.0,64.0,0,63
7,14,D,64,77,2.0,63.0,78.0,64,77
5,14,62,78,131,1.0,77.0,131.0,78,131
8,15,A,0,94,2.0,0.0,98.0,0,95
9,15,D,98,131,1.0,94.0,131.0,96,131
10,16,54,0,131,1.0,0.0,131.0,0,131
11,17,A,0,126,1.0,0.0,126.0,0,131
14,18,A,0,47,4.0,0.0,48.0,0,47
15,18,D,48,53,3.0,47.0,54.0,48,53
12,18,54,54,56,2.0,53.0,58.0,54,56
13,18,62,58,118,1.0,56.0,118.0,57,131
16,19,A,0,92,2.0,0.0,93.0,0,92
17,19,D,93,130,1.0,92.0,130.0,93,131
18,1A,A,6,129,2.0,6.0,130.0,6,129
19,1A,D,130,131,1.0,129.0,131.0,130,131
20,20,54,2,41,2.0,2.0,50.0,2,45
21,20,62,50,131,1.0,41.0,131.0,46,131
22,2A,62,23,75,1.0,23.0,75.0,23,131
