,Line,Product,Time_min,Time_max,Order,Time_min_1,Time_max_1,Time_min_f,Time_max_f
0,01,A,0,109,2.0,0.0,125.0,0,116
1,01,D,125,131,1.0,109.0,131.0,117,131
2,02,54,0,73,2.0,0.0,74.0,0,73
3,02,62,74,131,1.0,73.0,131.0,74,131
4,13,62,6,130,1.0,6.0,130.0,6,131
6,14,A,0,40,3.0,0.0,41.0,0,40
7,14,D,41,77,2.0,40.0,81.0,41,78
5,14,62,81,131,1.0,77.0,131.0,79,131
8,15,A,1,113,2.0,1.0,119.0,1,115
9,15,D,119,130,1.0,113.0,130.0,116,131
10,16,54,1,131,1.0,1.0,131.0,1,131
12,17,A,0,59,2.0,0.0,62.0,0,60
11,17,62,62,131,1.0,59.0,131.0,61,131
15,18,A,0,40,4.0,0.0,42.0,0,40
16,18,D,42,57,3.0,40.0,58.0,41,57
13,18,54,58,74,2.0,57.0,79.0,58,76
14,18,62,79,131,1.0,74.0,131.0,77,131
17,19,A,0,110,2.0,0.0,112.0,0,110
18,19,D,112,131,1.0,110.0,131.0,111,131
19,1A,A,0,57,2.0,0.0,72.0,0,64
20,1A,D,72,129,1.0,57.0,129.0,65,131
21,20,54,0,55,2.0,0.0,58.0,0,56
22,20,62,58,130,1.0,55.0,130.0,57,131
23,2A,62,59,118,1.0,59.0,118.0,59,131
