Tank Farm,Line,Event Type,Event Date Time,Batch,Sup/Con,Tankage,Actual,Total,BPH
ATJ,01,BATCHSTOP,9/28/2023 8:38:21 PM,CIT-A3-522,,,0,0,0
ATJ,01,BATCHSTART,9/28/2023 8:38:21 PM,SHT-A3-52B,,,143984,144000,14923
ATJ,01,BATCHSTOP,9/29/2023 6:17:16 AM,SHT-A3-52B,,,0,0,0
ATJ,01,SUPERSTOP,9/29/2023 6:17:16 AM,JA1-A3-521,,,0,0,0
ATJ,01,SUPERSTART,10/1/2023 12:26:16 AM,JA1-M3-521,,,17500,17500,8500
ATJ,01,BATCHSTART,10/1/2023 12:26:16 AM,TAR-M3-521,,,17500,17500,8500
ATJ,01,BATCHSTOP,10/1/2023 2:29:48 AM,TAR-M3-521,,,0,0,0
ATJ,01,SUPERSTOP,10/1/2023 2:29:48 AM,JA1-M3-521,,,0,0,0
ATJ,01,SUPERSTART,10/1/2023 10:51:20 AM,JA1-D3-521,,,182004,182000,20784
ATJ,01,BATCHSTART,10/1/2023 10:51:20 AM,CIT-D3-521,,,6500,6500,20784
ATJ,01,BATCHSTOP,10/1/2023 11:10:06 AM,CIT-D3-521,,,0,0,0
ATJ,01,BATCHSTART,10/1/2023 11:10:06 AM,MAC-D3-521,,,37500,37500,20784
ATJ,01,BATCHSTOP,10/1/2023 12:58:21 PM,MAC-D3-521,,,0,0,0
ATJ,01,BATCHSTART,10/1/2023 12:58:21 PM,MOB-D3-521,,,7500,7500,20784
ATJ,01,BATCHSTOP,10/1/2023 1:20:00 PM,MOB-D3-521,,,0,0,0
ATJ,01,BATCHSTART,10/1/2023 1:20:00 PM,MTV-D3-521,,,25000,25000,20784
ATJ,01,BATCHSTOP,10/1/2023 2:32:10 PM,MTV-D3-521,,,0,0,0
ATJ,01,BATCHSTART,10/1/2023 2:32:10 PM,MUC-D3-522,,,3500,3500,20784
ATJ,01,BATCHSTOP,10/1/2023 2:42:17 PM,MUC-D3-522,,,0,0,0
