"Tank Farm","Line","Event Type","Event Date Time","Batch","Sup/Con","Tankage","Actual","Total","BPH"
"ATJ","01","BATCHSTART","9/7/2023 2:27:53 AM","SHT-D2-48B","","","20500","20500","19457"
"ATJ","01","BATCHSTOP","9/7/2023 3:31:06 AM","SHT-D2-48B","","","0","0","0"
"ATJ","01","BATCHSTART","9/7/2023 3:31:06 AM","QTC-D2-48B","","","5500","5500","19457"
"ATJ","01","BATCHSTOP","9/7/2023 3:48:03 AM","QTC-D2-48B","","","0","0","0"
"ATJ","01","BATCHSTART","9/7/2023 3:48:03 AM","MUC-D2-482","","","12500","12500","19457"
"ATJ","01","BATCHSTOP","9/7/2023 4:26:36 AM","MUC-D2-482","","","0","0","0"
"ATJ","01","BATCHSTART","9/7/2023 4:26:36 AM","TRA-D2-481","","","5000","5000","19457"
"ATJ","01","BATCHSTOP","9/7/2023 4:42:01 AM","TRA-D2-481","","","0","0","0"
"ATJ","01","BATCHSTART","9/7/2023 4:42:01 AM","DKS-D2-481","","","2500","2500","19457"
"ATJ","01","BATCHSTOP","9/7/2023 4:49:44 AM","DKS-D2-481","","","0","0","0"
"ATJ","01","BATCHSTART","9/7/2023 4:49:44 AM","MUC-D2-489","","","2500","2500","19457"
"ATJ","01","BATCHSTOP","9/7/2023 4:57:26 AM","MUC-D2-489","","","0","0","0"
"ATJ","01","BATCHSTART","9/7/2023 4:57:26 AM","SHT-D2-489","","","2500","2500","19457"
"ATJ","01","BATCHSTOP","9/7/2023 5:05:09 AM","SHT-D2-489","","","0","0","0"
"ATJ","01","BATCHSTART","9/7/2023 5:05:09 AM","QTC-D2-48C","","","10000","30000","19457"
"ATJ","01","BATCHSTOP","9/7/2023 5:35:59 AM","QTC-D2-48C","","","0","0","0"
"ATJ","01","SUPERSTOP","9/7/2023 5:35:59 AM","JA1-D2-481","","","0","0","0"
"ATJ","01","SUPERSTART","9/7/2023 7:52:00 PM","JA1-A2-491","","","1368000","1368000","19124"
"ATJ","01","BATCHSTART","9/7/2023 7:52:00 PM","BPO-A2-491","","","35500","35500","19124"
"ATJ","01","BATCHSTOP","9/7/2023 9:43:22 PM","BPO-A2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/7/2023 9:43:22 PM","BZA-A2-491","","","22500","22500","19124"
"ATJ","01","BATCHSTOP","9/7/2023 10:53:58 PM","BZA-A2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/7/2023 10:53:58 PM","CIT-A2-491","","","37000","37000","19124"
"ATJ","01","BATCHSTOP","9/8/2023 12:50:03 AM","CIT-A2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/8/2023 12:50:03 AM","GUT-A2-491","","","10000","10000","19124"
"ATJ","01","BATCHSTOP","9/8/2023 1:21:25 AM","GUT-A2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/8/2023 1:21:25 AM","PBF-A2-491","","","15000","15000","19124"
"ATJ","01","BATCHSTOP","9/8/2023 2:08:29 AM","PBF-A2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/8/2023 2:08:29 AM","TAR-A2-491","","","57500","57500","19124"
"ATJ","01","BATCHSTOP","9/8/2023 5:08:53 AM","TAR-A2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/8/2023 5:08:53 AM","TOP-A2-491","","","22000","22000","19124"
"ATJ","01","BATCHSTOP","9/8/2023 6:17:54 AM","TOP-A2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/8/2023 6:17:54 AM","FHR-A2-491","","","12500","12500","19124"
"ATJ","01","BATCHSTOP","9/8/2023 6:57:07 AM","FHR-A2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/8/2023 6:57:07 AM","MGC-A2-491","","","15500","15500","19124"
"ATJ","01","BATCHSTOP","9/8/2023 7:45:45 AM","MGC-A2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/8/2023 7:45:45 AM","MUC-A2-492","","","20000","20000","19124"
"ATJ","01","BATCHSTOP","9/8/2023 8:48:30 AM","MUC-A2-492","","","0","0","0"
"ATJ","01","BATCHSTART","9/8/2023 8:48:30 AM","DKS-A2-491","","","51000","51000","19124"
"ATJ","01","BATCHSTOP","9/8/2023 11:28:31 AM","DKS-A2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/8/2023 11:28:31 AM","MAC-A2-491","","","35500","35500","19124"
"ATJ","01","BATCHSTOP","9/8/2023 1:19:53 PM","MAC-A2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/8/2023 1:19:53 PM","MXE-A2-496","","","30000","30000","19124"
"ATJ","01","BATCHSTOP","9/8/2023 2:54:01 PM","MXE-A2-496","","","0","0","0"
"ATJ","01","BATCHSTART","9/8/2023 2:54:01 PM","MXE-A2-492","","","25500","25500","19124"
"ATJ","01","BATCHSTOP","9/8/2023 4:14:01 PM","MXE-A2-492","","","0","0","0"
"ATJ","01","BATCHSTART","9/8/2023 4:14:01 PM","MXE-A2-493","","","20000","20000","19124"
"ATJ","01","BATCHSTOP","9/8/2023 5:16:46 PM","MXE-A2-493","","","0","0","0"
"ATJ","01","BATCHSTART","9/8/2023 5:16:46 PM","MXE-A2-491","","","5000","5000","19124"
"ATJ","01","BATCHSTOP","9/8/2023 5:32:27 PM","MXE-A2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/8/2023 5:32:27 PM","PHI-A2-491","","","7500","7500","19124"
"ATJ","01","BATCHSTOP","9/8/2023 5:55:59 PM","PHI-A2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/8/2023 5:55:59 PM","VAL-A2-49D","","","5000","5000","19124"
"ATJ","01","BATCHSTOP","9/8/2023 6:11:40 PM","VAL-A2-49D","","","0","0","0"
"ATJ","01","BATCHSTART","9/8/2023 6:11:40 PM","SHT-A2-49B","","","146000","146000","19124"
"ATJ","01","BATCHSTOP","9/9/2023 1:49:44 AM","SHT-A2-49B","","","0","0","0"
"ATJ","01","BATCHSTART","9/9/2023 1:49:44 AM","QTC-A2-49E","","","35000","35000","19124"
"ATJ","01","BATCHSTOP","9/9/2023 3:39:33 AM","QTC-A2-49E","","","0","0","0"
"ATJ","01","BATCHSTART","9/9/2023 3:39:33 AM","QTC-A2-49D","","","37500","37500","19124"
"ATJ","01","BATCHSTOP","9/9/2023 5:37:12 AM","QTC-A2-49D","","","0","0","0"
"ATJ","01","BATCHSTART","9/9/2023 5:37:12 AM","TAR-A2-492","","","15000","15000","19124"
"ATJ","01","BATCHSTOP","9/9/2023 6:24:15 AM","TAR-A2-492","","","0","0","0"
"ATJ","01","BATCHSTART","9/9/2023 6:24:15 AM","MOB-A2-493","","","22500","22500","19124"
"ATJ","01","BATCHSTOP","9/9/2023 7:34:51 AM","MOB-A2-493","","","0","0","0"
"ATJ","01","BATCHSTART","9/9/2023 7:34:51 AM","MOB-A2-495","","","5000","5000","19124"
"ATJ","01","BATCHSTOP","9/9/2023 7:50:32 AM","MOB-A2-495","","","0","0","0"
"ATJ","01","BATCHSTART","9/9/2023 7:50:32 AM","MUC-A2-490","","","15000","15000","19124"
"ATJ","01","BATCHSTOP","9/9/2023 8:37:36 AM","MUC-A2-490","","","0","0","0"
"ATJ","01","BATCHSTART","9/9/2023 8:37:36 AM","MUC-A2-494","","","2500","2500","19124"
"ATJ","01","BATCHSTOP","9/9/2023 8:45:26 AM","MUC-A2-494","","","0","0","0"
"ATJ","01","BATCHSTART","9/9/2023 8:45:26 AM","MUC-A2-496","","","25500","25500","19124"
"ATJ","01","BATCHSTOP","9/9/2023 10:05:27 AM","MUC-A2-496","","","0","0","0"
"ATJ","01","BATCHSTART","9/9/2023 10:05:27 AM","MUC-A2-493","","","7000","7000","19124"
"ATJ","01","BATCHSTOP","9/9/2023 10:27:24 AM","MUC-A2-493","","","0","0","0"
"ATJ","01","BATCHSTART","9/9/2023 10:27:24 AM","MUC-A2-495","","","9000","9000","19124"
"ATJ","01","BATCHSTOP","9/9/2023 10:55:39 AM","MUC-A2-495","","","0","0","0"
"ATJ","01","BATCHSTART","9/9/2023 10:55:39 AM","MTV-A2-492","","","119000","119000","19124"
"ATJ","01","BATCHSTOP","9/9/2023 5:09:00 PM","MTV-A2-492","","","0","0","0"
"ATJ","01","BATCHSTART","9/9/2023 5:09:00 PM","TAR-A2-493","","","10000","10000","19124"
"ATJ","01","BATCHSTOP","9/9/2023 5:40:22 PM","TAR-A2-493","","","0","0","0"
"ATJ","01","BATCHSTART","9/9/2023 5:40:22 PM","TRA-A2-491","","","25500","25500","19124"
"ATJ","01","BATCHSTOP","9/9/2023 7:00:22 PM","TRA-A2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/9/2023 7:00:22 PM","MUR-A2-496","","","5000","5000","19124"
"ATJ","01","BATCHSTOP","9/9/2023 7:16:04 PM","MUR-A2-496","","","0","0","0"
"ATJ","01","BATCHSTART","9/9/2023 7:16:04 PM","CPC-A2-491","","","75000","75000","19124"
"ATJ","01","BATCHSTOP","9/9/2023 11:11:22 PM","CPC-A2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/9/2023 11:11:22 PM","MOB-A2-497","","","5000","5000","19124"
"ATJ","01","BATCHSTOP","9/9/2023 11:27:03 PM","MOB-A2-497","","","0","0","0"
"ATJ","01","BATCHSTART","9/9/2023 11:27:03 PM","BPO-A2-492","","","17000","17000","19124"
"ATJ","01","BATCHSTOP","9/10/2023 12:20:23 AM","BPO-A2-492","","","0","0","0"
"ATJ","01","BATCHSTART","9/10/2023 12:20:23 AM","CL5-A2-491","","","25500","25500","19124"
"ATJ","01","BATCHSTOP","9/10/2023 1:40:24 AM","CL5-A2-491","","","0","0","0"
"ATJ","01","BATCHSTART","9/10/2023 1:40:24 AM","WAW-A2-49E","","","25500","25500","19124"
"ATJ","01","BATCHSTOP","9/10/2023 3:00:24 AM","WAW-A2-49E","","","0","0","0"
"ATJ","01","BATCHSTART","9/10/2023 3:00:24 AM","BPO-A2-494","","","21500","21500","19124"
"ATJ","01","BATCHSTOP","9/10/2023 4:07:51 AM","BPO-A2-494","","","0","0","0"
"ATJ","01","BATCHSTART","9/10/2023 4:07:51 AM","MOB-A2-498","","","25500","25500","19124"
"ATJ","01","BATCHSTOP","9/10/2023 5:27:52 AM","MOB-A2-498","","","0","0","0"
"ATJ","01","BATCHSTART","9/10/2023 5:27:52 AM","TRA-A2-492","","","17500","17500","19124"
"ATJ","01","BATCHSTOP","9/10/2023 6:22:46 AM","TRA-A2-492","","","0","0","0"
"ATJ","01","BATCHSTART","9/10/2023 6:22:46 AM","VAL-A2-497","","","32000","32000","19124"
"ATJ","01","BATCHSTOP","9/10/2023 8:03:10 AM","VAL-A2-497","","","0","0","0"
"ATJ","01","BATCHSTART","9/10/2023 8:03:10 AM","MUC-A2-497","","","25500","25500","19124"
"ATJ","01","BATCHSTOP","9/10/2023 9:23:10 AM","MUC-A2-497","","","0","0","0"
