,Tank Farm,Line,Event Type,Start Date Time,Batch,Sup/Con,Tankage,Actual,Total,BPH,SuperBatch,Stop Date Time,Start,Stop
267,ATJ,14,BATCHSTART,9/25/2023 5:37:08 AM,BPO-D3-521,,,8000,8000,2100,JA1-D3-521,9/25/2023 9:25:42 AM,2023-09-25 05:37:08,2023-09-25 09:25:42
269,ATJ,14,BATCHSTART,9/25/2023 9:25:42 AM,VAL-D3-52D,,,2500,2500,2100,JA1-D3-521,9/25/2023 10:37:08 AM,2023-09-25 09:25:42,2023-09-25 10:37:08
273,ATJ,14,BATCHSTART,9/25/2023 10:37:08 AM,BPO-62-521,,,7000,7000,2100,JA1-62-521,9/25/2023 1:57:08 PM,2023-09-25 10:37:08,2023-09-25 13:57:08
275,ATJ,14,BATCHSTART,9/25/2023 1:57:08 PM,CNL-62-521,,,2500,2500,2100,JA1-62-521,9/25/2023 3:08:34 PM,2023-09-25 13:57:08,2023-09-25 15:08:34
277,ATJ,14,BATCHSTART,9/25/2023 3:08:34 PM,HOM-62-521,,,13000,13000,2100,JA1-62-521,9/25/2023 9:20:00 PM,2023-09-25 15:08:34,2023-09-25 21:20:00
279,ATJ,14,BATCHSTART,9/25/2023 9:20:00 PM,MOB-62-521,,,2500,2500,2100,JA1-62-521,9/25/2023 10:31:25 PM,2023-09-25 21:20:00,2023-09-25 22:31:25
281,ATJ,14,BATCHSTART,9/25/2023 10:31:25 PM,MTV-62-521,,,4500,4500,2100,JA1-62-521,9/26/2023 12:40:00 AM,2023-09-25 22:31:25,2023-09-26 00:40:00
283,ATJ,14,BATCHSTART,9/26/2023 12:40:00 AM,MXE-62-521,,,2500,2500,2100,JA1-62-521,9/26/2023 1:51:25 AM,2023-09-26 00:40:00,2023-09-26 01:51:25
285,ATJ,14,BATCHSTART,9/26/2023 1:51:25 AM,QTC-62-521,,,7500,7500,2100,JA1-62-521,9/26/2023 5:25:42 AM,2023-09-26 01:51:25,2023-09-26 05:25:42
287,ATJ,14,BATCHSTART,9/26/2023 5:25:42 AM,VAL-62-52D,,,14500,14500,2100,JA1-62-521,9/26/2023 12:20:00 PM,2023-09-26 05:25:42,2023-09-26 12:20:00
291,ATJ,15,BATCHSTART,9/23/2023 12:33:00 AM,BPO-A3-521,,,59000,59000,3700,JA1-A3-521,9/23/2023 4:29:45 PM,2023-09-23 00:33:00,2023-09-23 16:29:45
293,ATJ,15,BATCHSTART,9/23/2023 4:29:45 PM,CIT-A3-521,,,9000,9000,3700,JA1-A3-521,9/23/2023 6:55:42 PM,2023-09-23 16:29:45,2023-09-23 18:55:42
295,ATJ,15,BATCHSTART,9/23/2023 6:55:42 PM,HOM-A3-521,,,2500,2500,3700,JA1-A3-521,9/23/2023 7:36:14 PM,2023-09-23 18:55:42,2023-09-23 19:36:14
297,ATJ,15,BATCHSTART,9/23/2023 7:36:14 PM,MOB-A3-521,,,2500,2500,3700,JA1-A3-521,9/23/2023 8:16:47 PM,2023-09-23 19:36:14,2023-09-23 20:16:47
299,ATJ,15,BATCHSTART,9/23/2023 8:16:47 PM,MTV-A3-521,,,95000,95000,3700,JA1-A3-521,9/24/2023 9:57:19 PM,2023-09-23 20:16:47,2023-09-24 21:57:19
301,ATJ,15,BATCHSTART,9/24/2023 9:57:19 PM,MUC-A3-522,,,11000,11000,3700,JA1-A3-521,9/25/2023 12:55:42 AM,2023-09-24 21:57:19,2023-09-25 00:55:42
303,ATJ,15,BATCHSTART,9/25/2023 12:55:42 AM,MXE-A3-523,,,10000,10000,3700,JA1-A3-521,9/25/2023 3:37:51 AM,2023-09-25 00:55:42,2023-09-25 03:37:51
305,ATJ,15,BATCHSTART,9/25/2023 3:37:51 AM,PHI-A3-521,,,10000,10000,3700,JA1-A3-521,9/25/2023 6:20:01 AM,2023-09-25 03:37:51,2023-09-25 06:20:01
307,ATJ,15,BATCHSTART,9/25/2023 6:20:01 AM,SUN-A3-521,,,2500,2500,3700,JA1-A3-521,9/25/2023 7:00:34 AM,2023-09-25 06:20:01,2023-09-25 07:00:34
309,ATJ,15,BATCHSTART,9/25/2023 7:00:34 AM,QTC-A3-521,,,145000,145000,3700,JA1-A3-521,9/26/2023 10:11:55 PM,2023-09-25 07:00:34,2023-09-26 22:11:55
311,ATJ,15,BATCHSTART,9/26/2023 10:11:55 PM,VAL-A3-52E,,,15500,15500,3700,JA1-A3-521,9/27/2023 2:23:16 AM,2023-09-26 22:11:55,2023-09-27 02:23:16
313,ATJ,15,BATCHSTART,9/27/2023 2:23:16 AM,CIT-A3-522,,,25000,25000,3700,JA1-A3-521,9/27/2023 9:08:40 AM,2023-09-27 02:23:16,2023-09-27 09:08:40
315,ATJ,15,BATCHSTART,9/27/2023 9:08:40 AM,DKS-A3-521,,,14000,14000,3700,JA1-A3-521,9/27/2023 12:55:42 PM,2023-09-27 09:08:40,2023-09-27 12:55:42
319,ATJ,15,BATCHSTART,9/27/2023 12:55:42 PM,CIT-D3-521,,,6500,6500,3700,JA1-D3-521,9/27/2023 2:41:06 PM,2023-09-27 12:55:42,2023-09-27 14:41:06
321,ATJ,15,BATCHSTART,9/27/2023 2:41:06 PM,MTV-D3-521,,,14000,14000,3700,JA1-D3-521,9/27/2023 6:28:08 PM,2023-09-27 14:41:06,2023-09-27 18:28:08
323,ATJ,15,BATCHSTART,9/27/2023 6:28:08 PM,MXE-D3-521,,,5000,5000,3700,JA1-D3-521,9/27/2023 7:49:12 PM,2023-09-27 18:28:08,2023-09-27 19:49:12
325,ATJ,15,BATCHSTART,9/27/2023 7:49:12 PM,BPO-D3-521,,,8000,8000,3700,JA1-D3-521,9/27/2023 9:58:56 PM,2023-09-27 19:49:12,2023-09-27 21:58:56
327,ATJ,15,BATCHSTART,9/27/2023 9:58:56 PM,VAL-D3-52D,,,5000,5000,3700,JA1-D3-521,9/27/2023 11:20:01 PM,2023-09-27 21:58:56,2023-09-27 23:20:01
331,ATJ,16,BATCHSTART,9/25/2023 12:08:46 AM,AAL-54-521,,,5000,5000,2050,JA1-54-521,9/25/2023 2:35:07 AM,2023-09-25 00:08:46,2023-09-25 02:35:07
333,ATJ,16,BATCHSTART,9/25/2023 2:35:07 AM,EPV-54-521,,,10000,10000,2050,JA1-54-521,9/25/2023 7:27:48 AM,2023-09-25 02:35:07,2023-09-25 07:27:48
335,ATJ,16,BATCHSTART,9/25/2023 7:27:48 AM,ETI-54-521,,,194000,194000,2050,JA1-54-521,9/29/2023 6:05:51 AM,2023-09-25 07:27:48,2023-09-29 06:05:51
337,ATJ,16,BATCHSTART,9/29/2023 6:05:51 AM,SWJ-54-521,,,22500,22500,2050,JA1-54-521,9/29/2023 5:04:23 PM,2023-09-29 06:05:51,2023-09-29 17:04:23
339,ATJ,16,BATCHSTART,9/29/2023 5:04:23 PM,TMS-56-521,,,15000,15000,2050,JA1-54-521,9/30/2023 12:23:24 AM,2023-09-29 17:04:23,2023-09-30 00:23:24
341,ATJ,16,BATCHSTART,9/30/2023 12:23:24 AM,TMS-54-521,,,20000,20000,2050,JA1-54-521,9/30/2023 10:08:46 AM,2023-09-30 00:23:24,2023-09-30 10:08:46
343,ATJ,16,BATCHSTART,9/30/2023 10:08:46 AM,WFS-54-521,,,17500,17500,2050,JA1-54-521,9/30/2023 6:40:58 PM,2023-09-30 10:08:46,2023-09-30 18:40:58
347,ATJ,17,BATCHSTART,9/25/2023 3:36:40 AM,TAR-M3-521,,,10000,10000,4500,JA1-M3-521,9/25/2023 5:50:00 AM,2023-09-25 03:36:40,2023-09-25 05:50:00
351,ATJ,17,BATCHSTART,9/25/2023 5:50:00 AM,BPO-A3-521,,,5500,5500,4500,JA1-A3-521,9/25/2023 7:03:20 AM,2023-09-25 05:50:00,2023-09-25 07:03:20
353,ATJ,17,BATCHSTART,9/25/2023 7:03:20 AM,BZA-A3-521,,,5000,5000,4500,JA1-A3-521,9/25/2023 8:10:00 AM,2023-09-25 07:03:20,2023-09-25 08:10:00
355,ATJ,17,BATCHSTART,9/25/2023 8:10:00 AM,CHV-A3-521,,,8000,8000,4500,JA1-A3-521,9/25/2023 9:56:40 AM,2023-09-25 08:10:00,2023-09-25 09:56:40
357,ATJ,17,BATCHSTART,9/25/2023 9:56:40 AM,CKS-A3-521,,,5000,5000,4500,JA1-A3-521,9/25/2023 11:03:20 AM,2023-09-25 09:56:40,2023-09-25 11:03:20
359,ATJ,17,BATCHSTART,9/25/2023 11:03:20 AM,CNL-A3-521,,,5000,5000,4500,JA1-A3-521,9/25/2023 12:10:00 PM,2023-09-25 11:03:20,2023-09-25 12:10:00
361,ATJ,17,BATCHSTART,9/25/2023 12:10:00 PM,FHR-A3-521,,,5000,5000,4500,JA1-A3-521,9/25/2023 1:16:40 PM,2023-09-25 12:10:00,2023-09-25 13:16:40
363,ATJ,17,BATCHSTART,9/25/2023 1:16:40 PM,GUT-A3-521,,,5000,5000,4500,JA1-A3-521,9/25/2023 2:23:20 PM,2023-09-25 13:16:40,2023-09-25 14:23:20
365,ATJ,17,BATCHSTART,9/25/2023 2:23:20 PM,MAC-A3-521,,,23000,23000,4500,JA1-A3-521,9/25/2023 7:30:00 PM,2023-09-25 14:23:20,2023-09-25 19:30:00
367,ATJ,17,BATCHSTART,9/25/2023 7:30:00 PM,MGC-A3-521,,,5000,5000,4500,JA1-A3-521,9/25/2023 8:36:40 PM,2023-09-25 19:30:00,2023-09-25 20:36:40
369,ATJ,17,BATCHSTART,9/25/2023 8:36:40 PM,MTV-A3-521,,,65000,65000,4500,JA1-A3-521,9/26/2023 11:03:20 AM,2023-09-25 20:36:40,2023-09-26 11:03:20
371,ATJ,17,BATCHSTART,9/26/2023 11:03:20 AM,MUC-A3-522,,,15000,15000,4500,JA1-A3-521,9/26/2023 2:23:20 PM,2023-09-26 11:03:20,2023-09-26 14:23:20
373,ATJ,17,BATCHSTART,9/26/2023 2:23:20 PM,MXE-A3-526,,,7500,7500,4500,JA1-A3-521,9/26/2023 4:03:20 PM,2023-09-26 14:23:20,2023-09-26 16:03:20
375,ATJ,17,BATCHSTART,9/26/2023 4:03:20 PM,PHI-A3-521,,,7500,7500,4500,JA1-A3-521,9/26/2023 5:43:20 PM,2023-09-26 16:03:20,2023-09-26 17:43:20
377,ATJ,17,BATCHSTART,9/26/2023 5:43:20 PM,QTC-A3-521,,,5000,5000,4500,JA1-A3-521,9/26/2023 6:50:00 PM,2023-09-26 17:43:20,2023-09-26 18:50:00
379,ATJ,17,BATCHSTART,9/26/2023 6:50:00 PM,SUN-A3-521,,,5000,5000,4500,JA1-A3-521,9/26/2023 7:56:40 PM,2023-09-26 18:50:00,2023-09-26 19:56:40
381,ATJ,17,BATCHSTART,9/26/2023 7:56:40 PM,TAR-A3-521,,,65000,65000,4500,JA1-A3-521,9/27/2023 10:23:20 AM,2023-09-26 19:56:40,2023-09-27 10:23:20
383,ATJ,17,BATCHSTART,9/27/2023 10:23:20 AM,MXE-A3-521,,,2500,2500,4500,JA1-A3-521,9/27/2023 10:56:40 AM,2023-09-27 10:23:20,2023-09-27 10:56:40
385,ATJ,17,BATCHSTART,9/27/2023 10:56:40 AM,VAL-A3-52E,,,7000,7000,4500,JA1-A3-521,9/27/2023 12:30:00 PM,2023-09-27 10:56:40,2023-09-27 12:30:00
389,ATJ,17,BATCHSTART,9/27/2023 12:30:00 PM,MTV-D3-521,,,6000,6000,4500,JA1-D3-521,9/27/2023 1:50:00 PM,2023-09-27 12:30:00,2023-09-27 13:50:00
391,ATJ,17,BATCHSTART,9/27/2023 1:50:00 PM,PHI-D3-521,,,2500,2500,4500,JA1-D3-521,9/27/2023 2:23:20 PM,2023-09-27 13:50:00,2023-09-27 14:23:20
393,ATJ,17,BATCHSTART,9/27/2023 2:23:20 PM,TAR-D3-521,,,5000,5000,4500,JA1-D3-521,9/27/2023 3:30:00 PM,2023-09-27 14:23:20,2023-09-27 15:30:00
395,ATJ,17,BATCHSTART,9/27/2023 3:30:00 PM,MXE-D3-521,,,2500,2500,4500,JA1-D3-521,9/27/2023 4:03:20 PM,2023-09-27 15:30:00,2023-09-27 16:03:20
397,ATJ,17,BATCHSTART,9/27/2023 4:03:20 PM,VAL-D3-52D,,,2500,2500,4500,JA1-D3-521,9/27/2023 4:36:40 PM,2023-09-27 16:03:20,2023-09-27 16:36:40
399,ATJ,17,BATCHSTART,9/27/2023 4:36:40 PM,MAC-D3-521,,,2500,2500,4500,JA1-D3-521,9/27/2023 5:10:00 PM,2023-09-27 16:36:40,2023-09-27 17:10:00
401,ATJ,17,BATCHSTART,9/27/2023 5:10:00 PM,BPO-D3-521,,,2500,2500,4500,JA1-D3-521,9/27/2023 5:43:20 PM,2023-09-27 17:10:00,2023-09-27 17:43:20
405,ATJ,17,BATCHSTART,9/27/2023 5:43:20 PM,ATL-62-521,,,5000,5000,4500,JA1-62-521,9/27/2023 6:50:00 PM,2023-09-27 17:43:20,2023-09-27 18:50:00
407,ATJ,17,BATCHSTART,9/27/2023 6:50:00 PM,FHR-62-521,,,10000,10000,4500,JA1-62-521,9/27/2023 9:03:20 PM,2023-09-27 18:50:00,2023-09-27 21:03:20
409,ATJ,17,BATCHSTART,9/27/2023 9:03:20 PM,GUT-62-521,,,5000,5000,4500,JA1-62-521,9/27/2023 10:10:00 PM,2023-09-27 21:03:20,2023-09-27 22:10:00
411,ATJ,17,BATCHSTART,9/27/2023 10:10:00 PM,MAC-62-521,,,42500,42500,4500,JA1-62-521,9/28/2023 7:36:40 AM,2023-09-27 22:10:00,2023-09-28 07:36:40
413,ATJ,17,BATCHSTART,9/28/2023 7:36:40 AM,MTV-62-521,,,38000,38000,4500,JA1-62-521,9/28/2023 4:03:20 PM,2023-09-28 07:36:40,2023-09-28 16:03:20
415,ATJ,17,BATCHSTART,9/28/2023 4:03:20 PM,MUC-62-522,,,7500,7500,4500,JA1-62-521,9/28/2023 5:43:20 PM,2023-09-28 16:03:20,2023-09-28 17:43:20
417,ATJ,17,BATCHSTART,9/28/2023 5:43:20 PM,MUS-62-52A,,,5000,5000,4500,JA1-62-521,9/28/2023 6:50:00 PM,2023-09-28 17:43:20,2023-09-28 18:50:00
419,ATJ,17,BATCHSTART,9/28/2023 6:50:00 PM,PHI-62-521,,,15000,15000,4500,JA1-62-521,9/28/2023 10:10:00 PM,2023-09-28 18:50:00,2023-09-28 22:10:00
421,ATJ,17,BATCHSTART,9/28/2023 10:10:00 PM,PTC-62-521,,,4000,4000,4500,JA1-62-521,9/28/2023 11:03:20 PM,2023-09-28 22:10:00,2023-09-28 23:03:20
423,ATJ,17,BATCHSTART,9/28/2023 11:03:20 PM,QTC-62-521,,,5000,5000,4500,JA1-62-521,9/29/2023 12:10:00 AM,2023-09-28 23:03:20,2023-09-29 00:10:00
425,ATJ,17,BATCHSTART,9/29/2023 12:10:00 AM,TAR-62-521,,,100000,100000,4500,JA1-62-521,9/29/2023 10:23:20 PM,2023-09-29 00:10:00,2023-09-29 22:23:20
427,ATJ,17,BATCHSTART,9/29/2023 10:23:20 PM,VAL-62-52D,,,13000,13000,4500,JA1-62-521,9/30/2023 1:16:40 AM,2023-09-29 22:23:20,2023-09-30 01:16:40
429,ATJ,17,BATCHSTART,9/30/2023 1:16:40 AM,VTL-62-521,,,5000,5000,4500,JA1-62-521,9/30/2023 2:23:20 AM,2023-09-30 01:16:40,2023-09-30 02:23:20
431,ATJ,17,BATCHSTART,9/30/2023 2:23:20 AM,WFS-62-521,,,5000,5000,4500,JA1-62-521,9/30/2023 3:30:00 AM,2023-09-30 02:23:20,2023-09-30 03:30:00
433,ATJ,17,BATCHSTART,9/30/2023 3:30:00 AM,BPO-62-521,,,5500,5500,4500,JA1-62-521,9/30/2023 4:43:20 AM,2023-09-30 03:30:00,2023-09-30 04:43:20
435,ATJ,17,BATCHSTART,9/30/2023 4:43:20 AM,USO-62-521,,,5000,5000,4500,JA1-62-521,9/30/2023 5:50:00 AM,2023-09-30 04:43:20,2023-09-30 05:50:00
439,ATJ,18,BATCHSTART,9/24/2023 4:22:00 AM,BPO-A3-521,,,45500,45500,6000,JA1-A3-521,9/24/2023 11:57:00 AM,2023-09-24 04:22:00,2023-09-24 11:57:00
441,ATJ,18,BATCHSTART,9/24/2023 11:57:00 AM,BZA-A3-521,,,5000,5000,6000,JA1-A3-521,9/24/2023 12:47:00 PM,2023-09-24 11:57:00,2023-09-24 12:47:00
443,ATJ,18,BATCHSTART,9/24/2023 12:47:00 PM,CHV-A3-521,,,3000,3000,6000,JA1-A3-521,9/24/2023 1:17:00 PM,2023-09-24 12:47:00,2023-09-24 13:17:00
445,ATJ,18,BATCHSTART,9/24/2023 1:17:00 PM,CIT-A3-521,,,17500,17500,6000,JA1-A3-521,9/24/2023 4:12:00 PM,2023-09-24 13:17:00,2023-09-24 16:12:00
447,ATJ,18,BATCHSTART,9/24/2023 4:12:00 PM,CNL-A3-521,,,2500,2500,6000,JA1-A3-521,9/24/2023 4:37:00 PM,2023-09-24 16:12:00,2023-09-24 16:37:00
449,ATJ,18,BATCHSTART,9/24/2023 4:37:00 PM,DKS-A3-521,,,17500,17500,6000,JA1-A3-521,9/24/2023 7:32:00 PM,2023-09-24 16:37:00,2023-09-24 19:32:00
451,ATJ,18,BATCHSTART,9/24/2023 7:32:00 PM,FHR-A3-521,,,5000,5000,6000,JA1-A3-521,9/24/2023 8:22:00 PM,2023-09-24 19:32:00,2023-09-24 20:22:00
453,ATJ,18,BATCHSTART,9/24/2023 8:22:00 PM,GUT-A3-521,,,2500,2500,6000,JA1-A3-521,9/24/2023 8:47:00 PM,2023-09-24 20:22:00,2023-09-24 20:47:00
455,ATJ,18,BATCHSTART,9/24/2023 8:47:00 PM,HOM-A3-521,,,23000,23000,6000,JA1-A3-521,9/25/2023 12:37:00 AM,2023-09-24 20:47:00,2023-09-25 00:37:00
457,ATJ,18,BATCHSTART,9/25/2023 12:37:00 AM,MAC-A3-521,,,12500,12500,6000,JA1-A3-521,9/25/2023 2:42:00 AM,2023-09-25 00:37:00,2023-09-25 02:42:00
459,ATJ,18,BATCHSTART,9/25/2023 2:42:00 AM,MGC-A3-521,,,10000,10000,6000,JA1-A3-521,9/25/2023 4:22:00 AM,2023-09-25 02:42:00,2023-09-25 04:22:00
461,ATJ,18,BATCHSTART,9/25/2023 4:22:00 AM,MTV-A3-521,,,3500,3500,6000,JA1-A3-521,9/25/2023 4:57:00 AM,2023-09-25 04:22:00,2023-09-25 04:57:00
463,ATJ,18,BATCHSTART,9/25/2023 4:57:00 AM,MUC-A3-522,,,46500,46500,6000,JA1-A3-521,9/25/2023 12:42:00 PM,2023-09-25 04:57:00,2023-09-25 12:42:00
465,ATJ,18,BATCHSTART,9/25/2023 12:42:00 PM,MXE-A3-521,,,5000,5000,6000,JA1-A3-521,9/25/2023 1:32:00 PM,2023-09-25 12:42:00,2023-09-25 13:32:00
467,ATJ,18,BATCHSTART,9/25/2023 1:32:00 PM,PBF-A3-521,,,15000,15000,6000,JA1-A3-521,9/25/2023 4:02:00 PM,2023-09-25 13:32:00,2023-09-25 16:02:00
469,ATJ,18,BATCHSTART,9/25/2023 4:02:00 PM,PHI-A3-521,,,13000,13000,6000,JA1-A3-521,9/25/2023 6:12:00 PM,2023-09-25 16:02:00,2023-09-25 18:12:00
471,ATJ,18,BATCHSTART,9/25/2023 6:12:00 PM,RKO-A3-521,,,35000,35000,6000,JA1-A3-521,9/26/2023 12:02:00 AM,2023-09-25 18:12:00,2023-09-26 00:02:00
473,ATJ,18,BATCHSTART,9/26/2023 12:02:00 AM,SUN-A3-521,,,10000,10000,6000,JA1-A3-521,9/26/2023 1:42:00 AM,2023-09-26 00:02:00,2023-09-26 01:42:00
475,ATJ,18,BATCHSTART,9/26/2023 1:42:00 AM,TAR-A3-521,,,15000,15000,6000,JA1-A3-521,9/26/2023 4:12:00 AM,2023-09-26 01:42:00,2023-09-26 04:12:00
477,ATJ,18,BATCHSTART,9/26/2023 4:12:00 AM,TOP-A3-521,,,18500,18500,6000,JA1-A3-521,9/26/2023 7:17:00 AM,2023-09-26 04:12:00,2023-09-26 07:17:00
479,ATJ,18,BATCHSTART,9/26/2023 7:17:00 AM,TRA-A3-521,,,5000,5000,6000,JA1-A3-521,9/26/2023 8:07:00 AM,2023-09-26 07:17:00,2023-09-26 08:07:00
481,ATJ,18,BATCHSTART,9/26/2023 8:07:00 AM,VAL-A3-52E,,,37500,37500,6000,JA1-A3-521,9/26/2023 2:22:00 PM,2023-09-26 08:07:00,2023-09-26 14:22:00
483,ATJ,18,BATCHSTART,9/26/2023 2:22:00 PM,MOB-A3-521,,,9000,9000,6000,JA1-A3-521,9/26/2023 3:52:00 PM,2023-09-26 14:22:00,2023-09-26 15:52:00
485,ATJ,18,BATCHSTART,9/26/2023 3:52:00 PM,SHT-A3-52B,,,49000,49000,6000,JA1-A3-521,9/27/2023 12:02:00 AM,2023-09-26 15:52:00,2023-09-27 00:02:00
489,ATJ,18,BATCHSTART,9/27/2023 12:02:00 AM,MAC-D3-521,,,2500,2500,6000,JA1-D3-521,9/27/2023 12:27:00 AM,2023-09-27 00:02:00,2023-09-27 00:27:00
491,ATJ,18,BATCHSTART,9/27/2023 12:27:00 AM,MTV-D3-521,,,2500,2500,6000,JA1-D3-521,9/27/2023 12:52:00 AM,2023-09-27 00:27:00,2023-09-27 00:52:00
493,ATJ,18,BATCHSTART,9/27/2023 12:52:00 AM,PHI-D3-521,,,7500,7500,6000,JA1-D3-521,9/27/2023 2:07:00 AM,2023-09-27 00:52:00,2023-09-27 02:07:00
495,ATJ,18,BATCHSTART,9/27/2023 2:07:00 AM,BPO-D3-521,,,6000,6000,6000,JA1-D3-521,9/27/2023 3:07:00 AM,2023-09-27 02:07:00,2023-09-27 03:07:00
497,ATJ,18,BATCHSTART,9/27/2023 3:07:00 AM,MXE-D3-521,,,2500,2500,6000,JA1-D3-521,9/27/2023 3:32:00 AM,2023-09-27 03:07:00,2023-09-27 03:32:00
499,ATJ,18,BATCHSTART,9/27/2023 3:32:00 AM,VAL-D3-52D,,,5000,5000,6000,JA1-D3-521,9/27/2023 4:22:00 AM,2023-09-27 03:32:00,2023-09-27 04:22:00
501,ATJ,18,BATCHSTART,9/27/2023 4:22:00 AM,MOB-D3-521,,,2500,2500,6000,JA1-D3-521,9/27/2023 4:47:00 AM,2023-09-27 04:22:00,2023-09-27 04:47:00
505,ATJ,18,BATCHSTART,9/27/2023 4:47:00 AM,PBF-A3-521,,,15000,15000,6000,JA2-A3-522,9/27/2023 7:17:00 AM,2023-09-27 04:47:00,2023-09-27 07:17:00
509,ATJ,18,BATCHSTART,9/27/2023 7:17:00 AM,PHI-54-521,,,8000,8000,6000,JA1-54-521,9/27/2023 8:37:00 AM,2023-09-27 07:17:00,2023-09-27 08:37:00
513,ATJ,18,BATCHSTART,9/27/2023 8:37:00 AM,BPO-62-521,,,5500,5500,6000,JA1-62-521,9/27/2023 9:32:00 AM,2023-09-27 08:37:00,2023-09-27 09:32:00
515,ATJ,18,BATCHSTART,9/27/2023 9:32:00 AM,CIT-62-521,,,14000,14000,6000,JA1-62-521,9/27/2023 11:52:00 AM,2023-09-27 09:32:00,2023-09-27 11:52:00
517,ATJ,18,BATCHSTART,9/27/2023 11:52:00 AM,CNL-62-521,,,5000,5000,6000,JA1-62-521,9/27/2023 12:42:00 PM,2023-09-27 11:52:00,2023-09-27 12:42:00
519,ATJ,18,BATCHSTART,9/27/2023 12:42:00 PM,EVA-62-52B,,,17500,17500,6000,JA1-62-521,9/27/2023 3:37:00 PM,2023-09-27 12:42:00,2023-09-27 15:37:00
521,ATJ,18,BATCHSTART,9/27/2023 3:37:00 PM,FHR-62-521,,,7500,7500,6000,JA1-62-521,9/27/2023 4:52:00 PM,2023-09-27 15:37:00,2023-09-27 16:52:00
523,ATJ,18,BATCHSTART,9/27/2023 4:52:00 PM,HOM-62-521,,,27000,27000,6000,JA1-62-521,9/27/2023 9:22:00 PM,2023-09-27 16:52:00,2023-09-27 21:22:00
525,ATJ,18,BATCHSTART,9/27/2023 9:22:00 PM,MAC-62-521,,,39000,39000,6000,JA1-62-521,9/28/2023 3:52:00 AM,2023-09-27 21:22:00,2023-09-28 03:52:00
527,ATJ,18,BATCHSTART,9/28/2023 3:52:00 AM,MTV-62-521,,,5000,5000,6000,JA1-62-521,9/28/2023 4:42:00 AM,2023-09-28 03:52:00,2023-09-28 04:42:00
529,ATJ,18,BATCHSTART,9/28/2023 4:42:00 AM,MUC-62-522,,,9000,9000,6000,JA1-62-521,9/28/2023 6:12:00 AM,2023-09-28 04:42:00,2023-09-28 06:12:00
531,ATJ,18,BATCHSTART,9/28/2023 6:12:00 AM,MUS-62-52A,,,15000,15000,6000,JA1-62-521,9/28/2023 8:42:00 AM,2023-09-28 06:12:00,2023-09-28 08:42:00
533,ATJ,18,BATCHSTART,9/28/2023 8:42:00 AM,MXE-62-521,,,3500,3500,6000,JA1-62-521,9/28/2023 9:17:00 AM,2023-09-28 08:42:00,2023-09-28 09:17:00
535,ATJ,18,BATCHSTART,9/28/2023 9:17:00 AM,PHI-62-521,,,9500,9500,6000,JA1-62-521,9/28/2023 10:52:00 AM,2023-09-28 09:17:00,2023-09-28 10:52:00
537,ATJ,18,BATCHSTART,9/28/2023 10:52:00 AM,QTC-62-521,,,10000,10000,6000,JA1-62-521,9/28/2023 12:32:00 PM,2023-09-28 10:52:00,2023-09-28 12:32:00
539,ATJ,18,BATCHSTART,9/28/2023 12:32:00 PM,RKO-62-521,,,25000,25000,6000,JA1-62-521,9/28/2023 4:42:00 PM,2023-09-28 12:32:00,2023-09-28 16:42:00
541,ATJ,18,BATCHSTART,9/28/2023 4:42:00 PM,SUN-62-521,,,17000,17000,6000,JA1-62-521,9/28/2023 7:32:00 PM,2023-09-28 16:42:00,2023-09-28 19:32:00
543,ATJ,18,BATCHSTART,9/28/2023 7:32:00 PM,TAR-62-521,,,46500,46500,6000,JA1-62-521,9/29/2023 3:17:00 AM,2023-09-28 19:32:00,2023-09-29 03:17:00
545,ATJ,18,BATCHSTART,9/29/2023 3:17:00 AM,VAL-62-52D,,,10000,10000,6000,JA1-62-521,9/29/2023 4:57:00 AM,2023-09-29 03:17:00,2023-09-29 04:57:00
547,ATJ,18,BATCHSTART,9/29/2023 4:57:00 AM,VTL-62-521,,,10000,10000,6000,JA1-62-521,9/29/2023 6:37:00 AM,2023-09-29 04:57:00,2023-09-29 06:37:00
549,ATJ,18,BATCHSTART,9/29/2023 6:37:00 AM,WFS-62-52P,,,2500,2500,6000,JA1-62-521,9/29/2023 7:02:00 AM,2023-09-29 06:37:00,2023-09-29 07:02:00
551,ATJ,18,BATCHSTART,9/29/2023 7:02:00 AM,PCA-62-520,,,7000,7000,6000,JA1-62-521,9/29/2023 8:12:00 AM,2023-09-29 07:02:00,2023-09-29 08:12:00
553,ATJ,18,BATCHSTART,9/29/2023 8:12:00 AM,USO-62-521,,,5000,5000,6000,JA1-62-521,9/29/2023 9:02:00 AM,2023-09-29 08:12:00,2023-09-29 09:02:00
555,ATJ,18,BATCHSTART,9/29/2023 9:02:00 AM,DKS-62-521,,,10000,10000,6000,JA1-62-521,9/29/2023 10:42:00 AM,2023-09-29 09:02:00,2023-09-29 10:42:00
559,ATJ,19,BATCHSTART,9/23/2023 12:18:00 AM,BPO-A3-521,,,40000,40000,4800,JA1-A3-521,9/23/2023 8:38:00 AM,2023-09-23 00:18:00,2023-09-23 08:38:00
561,ATJ,19,BATCHSTART,9/23/2023 8:38:00 AM,CIT-A3-521,,,15000,15000,4800,JA1-A3-521,9/23/2023 11:45:30 AM,2023-09-23 08:38:00,2023-09-23 11:45:30
