,Tank Farm,Line,Event Type,Start Date Time,Batch,Sup/Con,Tankage,Actual,Total,BPH,SuperBatch,Stop Date Time,Start,Stop
61,ATJ,01,BATCHSTART,9/28/2023 6:57:50 PM,CIT-A3-522,,,25000,25000,14923,JA1-A3-521,9/28/2023 8:38:21 PM,2023-09-28 18:57:50,2023-09-28 20:38:21
63,ATJ,01,BATCHSTART,9/28/2023 8:38:21 PM,SHT-A3-52B,,,143984,144000,14923,JA1-A3-521,9/29/2023 6:17:16 AM,2023-09-28 20:38:21,2023-09-29 06:17:16
67,ATJ,01,BATCHSTART,10/1/2023 12:26:16 AM,TAR-M3-521,,,17500,17500,8500,JA1-M3-521,10/1/2023 2:29:48 AM,2023-10-01 00:26:16,2023-10-01 02:29:48
71,ATJ,01,BATCHSTART,10/1/2023 10:51:20 AM,CIT-D3-521,,,6500,6500,20784,JA1-D3-521,10/1/2023 11:10:06 AM,2023-10-01 10:51:20,2023-10-01 11:10:06
73,ATJ,01,BATCHSTART,10/1/2023 11:10:06 AM,MAC-D3-521,,,37500,37500,20784,JA1-D3-521,10/1/2023 12:58:21 PM,2023-10-01 11:10:06,2023-10-01 12:58:21
75,ATJ,01,BATCHSTART,10/1/2023 12:58:21 PM,MOB-D3-521,,,7500,7500,20784,JA1-D3-521,10/1/2023 1:20:00 PM,2023-10-01 12:58:21,2023-10-01 13:20:00
77,ATJ,01,BATCHSTART,10/1/2023 1:20:00 PM,MTV-D3-521,,,25000,25000,20784,JA1-D3-521,10/1/2023 2:32:10 PM,2023-10-01 13:20:00,2023-10-01 14:32:10
79,ATJ,01,BATCHSTART,10/1/2023 2:32:10 PM,MUC-D3-522,,,3500,3500,20784,JA1-D3-521,10/1/2023 2:42:17 PM,2023-10-01 14:32:10,2023-10-01 14:42:17
81,ATJ,01,BATCHSTART,10/1/2023 2:42:17 PM,MXE-D3-521,,,25000,25000,20784,JA1-D3-521,10/1/2023 3:54:27 PM,2023-10-01 14:42:17,2023-10-01 15:54:27
83,ATJ,01,BATCHSTART,10/1/2023 3:54:27 PM,PHI-D3-521,,,15000,15000,20784,JA1-D3-521,10/1/2023 4:37:45 PM,2023-10-01 15:54:27,2023-10-01 16:37:45
85,ATJ,01,BATCHSTART,10/1/2023 4:37:45 PM,TAR-D3-521,,,5000,5000,20784,JA1-D3-521,10/1/2023 4:52:11 PM,2023-10-01 16:37:45,2023-10-01 16:52:11
87,ATJ,01,BATCHSTART,10/1/2023 4:52:11 PM,BPO-D3-521,,,29500,29500,20784,JA1-D3-521,10/1/2023 6:17:21 PM,2023-10-01 16:52:11,2023-10-01 18:17:21
89,ATJ,01,BATCHSTART,10/1/2023 6:17:21 PM,VAL-D3-52D,,,15000,15000,20784,JA1-D3-521,10/1/2023 7:00:39 PM,2023-10-01 18:17:21,2023-10-01 19:00:39
91,ATJ,01,BATCHSTART,10/1/2023 7:00:39 PM,SHT-D3-52B,,,12500,12500,20784,JA1-D3-521,10/1/2023 7:36:44 PM,2023-10-01 19:00:39,2023-10-01 19:36:44
95,ATJ,02,BATCHSTART,9/24/2023 9:26:14 AM,AAL-54-521,,,12500,12500,8303,JA1-54-521,9/24/2023 10:56:34 AM,2023-09-24 09:26:14,2023-09-24 10:56:34
97,ATJ,02,BATCHSTART,9/24/2023 10:56:34 AM,BZA-54-521,,,10000,10000,8303,JA1-54-521,9/24/2023 12:08:49 PM,2023-09-24 10:56:34,2023-09-24 12:08:49
99,ATJ,02,BATCHSTART,9/24/2023 12:08:49 PM,EPV-54-521,,,15000,15000,8303,JA1-54-521,9/24/2023 1:57:13 PM,2023-09-24 12:08:49,2023-09-24 13:57:13
101,ATJ,02,BATCHSTART,9/24/2023 1:57:13 PM,ETI-54-521,,,199000,199000,8303,JA1-54-521,9/25/2023 1:55:15 PM,2023-09-24 13:57:13,2023-09-25 13:55:15
103,ATJ,02,BATCHSTART,9/25/2023 1:55:15 PM,PHI-54-521,,,8000,8000,8303,JA1-54-521,9/25/2023 2:53:04 PM,2023-09-25 13:55:15,2023-09-25 14:53:04
105,ATJ,02,BATCHSTART,9/25/2023 2:53:04 PM,SWJ-54-521,,,35000,35000,8303,JA1-54-521,9/25/2023 7:05:59 PM,2023-09-25 14:53:04,2023-09-25 19:05:59
107,ATJ,02,BATCHSTART,9/25/2023 7:05:59 PM,TMS-56-521,,,15000,15000,8303,JA1-54-521,9/25/2023 8:54:23 PM,2023-09-25 19:05:59,2023-09-25 20:54:23
109,ATJ,02,BATCHSTART,9/25/2023 8:54:23 PM,TMS-54-521,,,20000,20000,8303,JA1-54-521,9/25/2023 11:18:54 PM,2023-09-25 20:54:23,2023-09-25 23:18:54
111,ATJ,02,BATCHSTART,9/25/2023 11:18:54 PM,WFS-54-521,,,32480,32500,8303,JA1-54-521,9/26/2023 3:13:37 AM,2023-09-25 23:18:54,2023-09-26 03:13:37
115,ATJ,02,BATCHSTART,9/26/2023 6:26:21 AM,ATL-62-521,,,10000,10000,12167,JA1-62-521,9/26/2023 7:15:40 AM,2023-09-26 06:26:21,2023-09-26 07:15:40
117,ATJ,02,BATCHSTART,9/26/2023 7:15:40 AM,BPO-62-521,,,29000,29000,12167,JA1-62-521,9/26/2023 9:38:41 AM,2023-09-26 07:15:40,2023-09-26 09:38:41
119,ATJ,02,BATCHSTART,9/26/2023 9:38:41 AM,CIT-62-521,,,30000,30000,12167,JA1-62-521,9/26/2023 12:06:37 PM,2023-09-26 09:38:41,2023-09-26 12:06:37
121,ATJ,02,BATCHSTART,9/26/2023 12:06:37 PM,CNL-62-521,,,10000,10000,12167,JA1-62-521,9/26/2023 12:55:56 PM,2023-09-26 12:06:37,2023-09-26 12:55:56
123,ATJ,02,BATCHSTART,9/26/2023 12:55:56 PM,DKS-62-521,,,23500,23500,12167,JA1-62-521,9/26/2023 2:51:49 PM,2023-09-26 12:55:56,2023-09-26 14:51:49
125,ATJ,02,BATCHSTART,9/26/2023 2:51:49 PM,EVA-62-52B,,,37500,37500,12167,JA1-62-521,9/26/2023 5:56:45 PM,2023-09-26 14:51:49,2023-09-26 17:56:45
127,ATJ,02,BATCHSTART,9/26/2023 5:56:45 PM,FHR-62-521,,,25000,25000,12167,JA1-62-521,9/26/2023 8:00:02 PM,2023-09-26 17:56:45,2023-09-26 20:00:02
129,ATJ,02,BATCHSTART,9/26/2023 8:00:02 PM,GPC-62-521,,,15000,15000,12167,JA1-62-521,9/26/2023 9:14:00 PM,2023-09-26 20:00:02,2023-09-26 21:14:00
131,ATJ,02,BATCHSTART,9/26/2023 9:14:00 PM,GUT-62-521,,,5000,5000,12167,JA1-62-521,9/26/2023 9:38:40 PM,2023-09-26 21:14:00,2023-09-26 21:38:40
133,ATJ,02,BATCHSTART,9/26/2023 9:38:40 PM,HOM-62-521,,,40000,40000,12167,JA1-62-521,9/27/2023 12:55:55 AM,2023-09-26 21:38:40,2023-09-27 00:55:55
135,ATJ,02,BATCHSTART,9/27/2023 12:55:55 AM,JWE-62-521,,,10000,10000,12167,JA1-62-521,9/27/2023 1:45:14 AM,2023-09-27 00:55:55,2023-09-27 01:45:14
137,ATJ,02,BATCHSTART,9/27/2023 1:45:14 AM,MAC-62-521,,,129000,129000,12167,JA1-62-521,9/27/2023 12:21:23 PM,2023-09-27 01:45:14,2023-09-27 12:21:23
139,ATJ,02,BATCHSTART,9/27/2023 12:21:23 PM,MFD-62-521,,,5000,5000,12167,JA1-62-521,9/27/2023 12:46:02 PM,2023-09-27 12:21:23,2023-09-27 12:46:02
141,ATJ,02,BATCHSTART,9/27/2023 12:46:02 PM,MGC-62-521,,,5000,5000,12167,JA1-62-521,9/27/2023 1:10:41 PM,2023-09-27 12:46:02,2023-09-27 13:10:41
143,ATJ,02,BATCHSTART,9/27/2023 1:10:41 PM,MOB-62-521,,,12500,12500,12167,JA1-62-521,9/27/2023 2:12:20 PM,2023-09-27 13:10:41,2023-09-27 14:12:20
145,ATJ,02,BATCHSTART,9/27/2023 2:12:20 PM,MTV-62-521,,,75000,75000,12167,JA1-62-521,9/27/2023 8:22:11 PM,2023-09-27 14:12:20,2023-09-27 20:22:11
147,ATJ,02,BATCHSTART,9/27/2023 8:22:11 PM,MUC-62-522,,,27000,27000,12167,JA1-62-521,9/27/2023 10:35:20 PM,2023-09-27 20:22:11,2023-09-27 22:35:20
149,ATJ,02,BATCHSTART,9/27/2023 10:35:20 PM,MUS-62-52A,,,35000,35000,12167,JA1-62-521,9/28/2023 1:27:56 AM,2023-09-27 22:35:20,2023-09-28 01:27:56
151,ATJ,02,BATCHSTART,9/28/2023 1:27:56 AM,MXE-62-522,,,2500,2500,12167,JA1-62-521,9/28/2023 1:40:15 AM,2023-09-28 01:27:56,2023-09-28 01:40:15
153,ATJ,02,BATCHSTART,9/28/2023 1:40:15 AM,MXE-62-521,,,21000,21000,12167,JA1-62-521,9/28/2023 3:23:49 AM,2023-09-28 01:40:15,2023-09-28 03:23:49
155,ATJ,02,BATCHSTART,9/28/2023 3:23:49 AM,PHI-62-521,,,44500,44500,12167,JA1-62-521,9/28/2023 7:03:16 AM,2023-09-28 03:23:49,2023-09-28 07:03:16
157,ATJ,02,BATCHSTART,9/28/2023 7:03:16 AM,PTC-62-521,,,12500,12500,12167,JA1-62-521,9/28/2023 8:04:54 AM,2023-09-28 07:03:16,2023-09-28 08:04:54
159,ATJ,02,BATCHSTART,9/28/2023 8:04:54 AM,QTC-62-521,,,40000,40000,12167,JA1-62-521,9/28/2023 11:22:10 AM,2023-09-28 08:04:54,2023-09-28 11:22:10
161,ATJ,02,BATCHSTART,9/28/2023 11:22:10 AM,RKO-62-521,,,30000,30000,12167,JA1-62-521,9/28/2023 1:50:06 PM,2023-09-28 11:22:10,2023-09-28 13:50:06
163,ATJ,02,BATCHSTART,9/28/2023 1:50:06 PM,SBP-62-521,,,15000,15000,12167,JA1-62-521,9/28/2023 3:04:04 PM,2023-09-28 13:50:06,2023-09-28 15:04:04
165,ATJ,02,BATCHSTART,9/28/2023 3:04:04 PM,SBS-62-521,,,25000,25000,12167,JA1-62-521,9/28/2023 5:07:21 PM,2023-09-28 15:04:04,2023-09-28 17:07:21
167,ATJ,02,BATCHSTART,9/28/2023 5:07:21 PM,SUN-62-521,,,22000,22000,12167,JA1-62-521,9/28/2023 6:55:51 PM,2023-09-28 17:07:21,2023-09-28 18:55:51
169,ATJ,02,BATCHSTART,9/28/2023 6:55:51 PM,SVE-62-521,,,10000,10000,12167,JA1-62-521,9/28/2023 7:45:10 PM,2023-09-28 18:55:51,2023-09-28 19:45:10
171,ATJ,02,BATCHSTART,9/28/2023 7:45:10 PM,TAR-62-521,,,181500,181500,12167,JA1-62-521,9/29/2023 10:40:12 AM,2023-09-28 19:45:10,2023-09-29 10:40:12
