,Timestamp,Hours,Actual,BPH,Batch,Event Type,Line,Start Date Time,Stop Date Time,Sup/Con,SuperBatch,Tank Farm,Tankage,Total,Volume,Client,Product,Cycle_,Cycle
28,09/25/2023 04:00,0.58,56500,14923,DKS-A3-521,BATCHSTART,01,9/25/2023 12:48:04 AM,9/25/2023 4:35:14 AM,,JA1-A3-521,ATJ,,56500,8655.0,JA1,A3,521,52
29,09/25/2023 04:00,0.42,15000,14923,FHR-A3-521,BATCHSTART,01,9/25/2023 4:35:14 AM,9/25/2023 5:35:33 AM,,JA1-A3-521,ATJ,,15000,6268.0,JA1,A3,521,52
30,09/25/2023 05:00,0.58,15000,14923,FHR-A3-521,BATCHSTART,01,9/25/2023 4:35:14 AM,9/25/2023 5:35:33 AM,,JA1-A3-521,ATJ,,15000,8655.0,JA1,A3,521,52
31,09/25/2023 05:00,0.42,7500,14923,GUT-A3-521,BATCHSTART,01,9/25/2023 5:35:33 AM,9/25/2023 6:05:42 AM,,JA1-A3-521,ATJ,,7500,6268.0,JA1,A3,521,52
32,09/25/2023 06:00,0.08,7500,14923,GUT-A3-521,BATCHSTART,01,9/25/2023 5:35:33 AM,9/25/2023 6:05:42 AM,,JA1-A3-521,ATJ,,7500,1194.0,JA1,A3,521,52
33,09/25/2023 06:00,0.92,25500,14923,HOM-A3-521,BATCHSTART,01,9/25/2023 6:05:42 AM,9/25/2023 7:48:13 AM,,JA1-A3-521,ATJ,,25500,13729.0,JA1,A3,521,52
34,09/25/2023 07:00,0.8,25500,14923,HOM-A3-521,BATCHSTART,01,9/25/2023 6:05:42 AM,9/25/2023 7:48:13 AM,,JA1-A3-521,ATJ,,25500,11938.0,JA1,A3,521,52
35,09/25/2023 07:00,0.2,265500,14923,MAC-A3-521,BATCHSTART,01,9/25/2023 7:48:13 AM,9/26/2023 1:35:42 AM,,JA1-A3-521,ATJ,,265500,2985.0,JA1,A3,521,52
36,09/25/2023 08:00,1.0,265500,14923,MAC-A3-521,BATCHSTART,01,9/25/2023 7:48:13 AM,9/26/2023 1:35:42 AM,,JA1-A3-521,ATJ,,265500,14923.0,JA1,A3,521,52
37,09/25/2023 09:00,1.0,265500,14923,MAC-A3-521,BATCHSTART,01,9/25/2023 7:48:13 AM,9/26/2023 1:35:42 AM,,JA1-A3-521,ATJ,,265500,14923.0,JA1,A3,521,52
38,09/25/2023 10:00,1.0,265500,14923,MAC-A3-521,BATCHSTART,01,9/25/2023 7:48:13 AM,9/26/2023 1:35:42 AM,,JA1-A3-521,ATJ,,265500,14923.0,JA1,A3,521,52
39,09/25/2023 11:00,1.0,265500,14923,MAC-A3-521,BATCHSTART,01,9/25/2023 7:48:13 AM,9/26/2023 1:35:42 AM,,JA1-A3-521,ATJ,,265500,14923.0,JA1,A3,521,52
40,09/25/2023 12:00,1.0,265500,14923,MAC-A3-521,BATCHSTART,01,9/25/2023 7:48:13 AM,9/26/2023 1:35:42 AM,,JA1-A3-521,ATJ,,265500,14923.0,JA1,A3,521,52
41,09/25/2023 13:00,1.0,265500,14923,MAC-A3-521,BATCHSTART,01,9/25/2023 7:48:13 AM,9/26/2023 1:35:42 AM,,JA1-A3-521,ATJ,,265500,14923.0,JA1,A3,521,52
42,09/25/2023 14:00,1.0,265500,14923,MAC-A3-521,BATCHSTART,01,9/25/2023 7:48:13 AM,9/26/2023 1:35:42 AM,,JA1-A3-521,ATJ,,265500,14923.0,JA1,A3,521,52
43,09/25/2023 15:00,1.0,265500,14923,MAC-A3-521,BATCHSTART,01,9/25/2023 7:48:13 AM,9/26/2023 1:35:42 AM,,JA1-A3-521,ATJ,,265500,14923.0,JA1,A3,521,52
44,09/25/2023 16:00,1.0,265500,14923,MAC-A3-521,BATCHSTART,01,9/25/2023 7:48:13 AM,9/26/2023 1:35:42 AM,,JA1-A3-521,ATJ,,265500,14923.0,JA1,A3,521,52
45,09/25/2023 17:00,1.0,265500,14923,MAC-A3-521,BATCHSTART,01,9/25/2023 7:48:13 AM,9/26/2023 1:35:42 AM,,JA1-A3-521,ATJ,,265500,14923.0,JA1,A3,521,52
46,09/25/2023 18:00,1.0,265500,14923,MAC-A3-521,BATCHSTART,01,9/25/2023 7:48:13 AM,9/26/2023 1:35:42 AM,,JA1-A3-521,ATJ,,265500,14923.0,JA1,A3,521,52
47,09/25/2023 19:00,1.0,265500,14923,MAC-A3-521,BATCHSTART,01,9/25/2023 7:48:13 AM,9/26/2023 1:35:42 AM,,JA1-A3-521,ATJ,,265500,14923.0,JA1,A3,521,52
48,09/25/2023 20:00,1.0,265500,14923,MAC-A3-521,BATCHSTART,01,9/25/2023 7:48:13 AM,9/26/2023 1:35:42 AM,,JA1-A3-521,ATJ,,265500,14923.0,JA1,A3,521,52
49,09/25/2023 21:00,1.0,265500,14923,MAC-A3-521,BATCHSTART,01,9/25/2023 7:48:13 AM,9/26/2023 1:35:42 AM,,JA1-A3-521,ATJ,,265500,14923.0,JA1,A3,521,52
50,09/25/2023 22:00,1.0,265500,14923,MAC-A3-521,BATCHSTART,01,9/25/2023 7:48:13 AM,9/26/2023 1:35:42 AM,,JA1-A3-521,ATJ,,265500,14923.0,JA1,A3,521,52
51,09/25/2023 23:00,1.0,265500,14923,MAC-A3-521,BATCHSTART,01,9/25/2023 7:48:13 AM,9/26/2023 1:35:42 AM,,JA1-A3-521,ATJ,,265500,14923.0,JA1,A3,521,52
52,09/26/2023 00:00,1.0,265500,14923,MAC-A3-521,BATCHSTART,01,9/25/2023 7:48:13 AM,9/26/2023 1:35:42 AM,,JA1-A3-521,ATJ,,265500,14923.0,JA1,A3,521,52
53,09/26/2023 01:00,0.58,265500,14923,MAC-A3-521,BATCHSTART,01,9/25/2023 7:48:13 AM,9/26/2023 1:35:42 AM,,JA1-A3-521,ATJ,,265500,8655.0,JA1,A3,521,52
54,09/26/2023 01:00,0.42,15000,14923,MGC-A3-521,BATCHSTART,01,9/26/2023 1:35:42 AM,9/26/2023 2:36:01 AM,,JA1-A3-521,ATJ,,15000,6268.0,JA1,A3,521,52
55,09/26/2023 02:00,0.6,15000,14923,MGC-A3-521,BATCHSTART,01,9/26/2023 1:35:42 AM,9/26/2023 2:36:01 AM,,JA1-A3-521,ATJ,,15000,8954.0,JA1,A3,521,52
56,09/26/2023 02:00,0.4,85000,14923,MOB-A3-521,BATCHSTART,01,9/26/2023 2:36:01 AM,9/26/2023 8:17:46 AM,,JA1-A3-521,ATJ,,85000,5969.0,JA1,A3,521,52
57,09/26/2023 03:00,1.0,85000,14923,MOB-A3-521,BATCHSTART,01,9/26/2023 2:36:01 AM,9/26/2023 8:17:46 AM,,JA1-A3-521,ATJ,,85000,14923.0,JA1,A3,521,52
58,09/26/2023 04:00,1.0,85000,14923,MOB-A3-521,BATCHSTART,01,9/26/2023 2:36:01 AM,9/26/2023 8:17:46 AM,,JA1-A3-521,ATJ,,85000,14923.0,JA1,A3,521,52
59,09/26/2023 05:00,1.0,85000,14923,MOB-A3-521,BATCHSTART,01,9/26/2023 2:36:01 AM,9/26/2023 8:17:46 AM,,JA1-A3-521,ATJ,,85000,14923.0,JA1,A3,521,52
60,09/26/2023 06:00,1.0,85000,14923,MOB-A3-521,BATCHSTART,01,9/26/2023 2:36:01 AM,9/26/2023 8:17:46 AM,,JA1-A3-521,ATJ,,85000,14923.0,JA1,A3,521,52
61,09/26/2023 07:00,1.0,85000,14923,MOB-A3-521,BATCHSTART,01,9/26/2023 2:36:01 AM,9/26/2023 8:17:46 AM,,JA1-A3-521,ATJ,,85000,14923.0,JA1,A3,521,52
62,09/26/2023 08:00,0.28,85000,14923,MOB-A3-521,BATCHSTART,01,9/26/2023 2:36:01 AM,9/26/2023 8:17:46 AM,,JA1-A3-521,ATJ,,85000,4178.0,JA1,A3,521,52
63,09/26/2023 08:00,0.72,176000,14923,MTV-A3-521,BATCHSTART,01,9/26/2023 8:17:46 AM,9/26/2023 8:05:24 PM,,JA1-A3-521,ATJ,,176000,10745.0,JA1,A3,521,52
64,09/26/2023 09:00,1.0,176000,14923,MTV-A3-521,BATCHSTART,01,9/26/2023 8:17:46 AM,9/26/2023 8:05:24 PM,,JA1-A3-521,ATJ,,176000,14923.0,JA1,A3,521,52
65,09/26/2023 10:00,1.0,176000,14923,MTV-A3-521,BATCHSTART,01,9/26/2023 8:17:46 AM,9/26/2023 8:05:24 PM,,JA1-A3-521,ATJ,,176000,14923.0,JA1,A3,521,52
66,09/26/2023 11:00,1.0,176000,14923,MTV-A3-521,BATCHSTART,01,9/26/2023 8:17:46 AM,9/26/2023 8:05:24 PM,,JA1-A3-521,ATJ,,176000,14923.0,JA1,A3,521,52
67,09/26/2023 12:00,1.0,176000,14923,MTV-A3-521,BATCHSTART,01,9/26/2023 8:17:46 AM,9/26/2023 8:05:24 PM,,JA1-A3-521,ATJ,,176000,14923.0,JA1,A3,521,52
68,09/26/2023 13:00,1.0,176000,14923,MTV-A3-521,BATCHSTART,01,9/26/2023 8:17:46 AM,9/26/2023 8:05:24 PM,,JA1-A3-521,ATJ,,176000,14923.0,JA1,A3,521,52
69,09/26/2023 14:00,1.0,176000,14923,MTV-A3-521,BATCHSTART,01,9/26/2023 8:17:46 AM,9/26/2023 8:05:24 PM,,JA1-A3-521,ATJ,,176000,14923.0,JA1,A3,521,52
70,09/26/2023 15:00,1.0,176000,14923,MTV-A3-521,BATCHSTART,01,9/26/2023 8:17:46 AM,9/26/2023 8:05:24 PM,,JA1-A3-521,ATJ,,176000,14923.0,JA1,A3,521,52
71,09/26/2023 16:00,1.0,176000,14923,MTV-A3-521,BATCHSTART,01,9/26/2023 8:17:46 AM,9/26/2023 8:05:24 PM,,JA1-A3-521,ATJ,,176000,14923.0,JA1,A3,521,52
72,09/26/2023 17:00,1.0,176000,14923,MTV-A3-521,BATCHSTART,01,9/26/2023 8:17:46 AM,9/26/2023 8:05:24 PM,,JA1-A3-521,ATJ,,176000,14923.0,JA1,A3,521,52
73,09/26/2023 18:00,1.0,176000,14923,MTV-A3-521,BATCHSTART,01,9/26/2023 8:17:46 AM,9/26/2023 8:05:24 PM,,JA1-A3-521,ATJ,,176000,14923.0,JA1,A3,521,52
74,09/26/2023 19:00,1.0,176000,14923,MTV-A3-521,BATCHSTART,01,9/26/2023 8:17:46 AM,9/26/2023 8:05:24 PM,,JA1-A3-521,ATJ,,176000,14923.0,JA1,A3,521,52
75,09/26/2023 20:00,0.08,176000,14923,MTV-A3-521,BATCHSTART,01,9/26/2023 8:17:46 AM,9/26/2023 8:05:24 PM,,JA1-A3-521,ATJ,,176000,1194.0,JA1,A3,521,52
76,09/26/2023 20:00,0.92,107500,14923,MUC-A3-522,BATCHSTART,01,9/26/2023 8:05:24 PM,9/27/2023 3:17:37 AM,,JA1-A3-521,ATJ,,107500,13729.0,JA1,A3,521,52
77,09/26/2023 21:00,1.0,107500,14923,MUC-A3-522,BATCHSTART,01,9/26/2023 8:05:24 PM,9/27/2023 3:17:37 AM,,JA1-A3-521,ATJ,,107500,14923.0,JA1,A3,521,52
78,09/26/2023 22:00,1.0,107500,14923,MUC-A3-522,BATCHSTART,01,9/26/2023 8:05:24 PM,9/27/2023 3:17:37 AM,,JA1-A3-521,ATJ,,107500,14923.0,JA1,A3,521,52
79,09/26/2023 23:00,1.0,107500,14923,MUC-A3-522,BATCHSTART,01,9/26/2023 8:05:24 PM,9/27/2023 3:17:37 AM,,JA1-A3-521,ATJ,,107500,14923.0,JA1,A3,521,52
80,09/27/2023 00:00,1.0,107500,14923,MUC-A3-522,BATCHSTART,01,9/26/2023 8:05:24 PM,9/27/2023 3:17:37 AM,,JA1-A3-521,ATJ,,107500,14923.0,JA1,A3,521,52
81,09/27/2023 01:00,1.0,107500,14923,MUC-A3-522,BATCHSTART,01,9/26/2023 8:05:24 PM,9/27/2023 3:17:37 AM,,JA1-A3-521,ATJ,,107500,14923.0,JA1,A3,521,52
82,09/27/2023 02:00,1.0,107500,14923,MUC-A3-522,BATCHSTART,01,9/26/2023 8:05:24 PM,9/27/2023 3:17:37 AM,,JA1-A3-521,ATJ,,107500,14923.0,JA1,A3,521,52
83,09/27/2023 03:00,0.28,107500,14923,MUC-A3-522,BATCHSTART,01,9/26/2023 8:05:24 PM,9/27/2023 3:17:37 AM,,JA1-A3-521,ATJ,,107500,4178.0,JA1,A3,521,52
84,09/27/2023 03:00,0.5,7500,14923,MXE-A3-521,BATCHSTART,01,9/27/2023 3:17:37 AM,9/27/2023 3:47:46 AM,,JA1-A3-521,ATJ,,7500,7462.0,JA1,A3,521,52
85,09/27/2023 03:00,0.22,25000,14923,MXE-A3-522,BATCHSTART,01,9/27/2023 3:47:46 AM,9/27/2023 5:28:17 AM,,JA1-A3-521,ATJ,,25000,3283.0,JA1,A3,521,52
