,Cycle,Timestamp,Line,Product,Volume,Start Date Time,Stop Date Time
56,52,09/23/2023 12:00,15,A,3700.0,9/23/2023 12:33:00 AM,9/23/2023 4:29:45 PM
57,52,09/23/2023 12:00,19,A,4800.0,9/23/2023 11:45:30 AM,9/23/2023 4:58:00 PM
58,52,09/23/2023 13:00,14,A,2100.0,9/23/2023 8:51:25 AM,9/23/2023 2:48:34 PM
59,52,09/23/2023 13:00,15,A,3700.0,9/23/2023 12:33:00 AM,9/23/2023 4:29:45 PM
60,52,09/23/2023 13:00,19,A,4800.0,9/23/2023 11:45:30 AM,9/23/2023 4:58:00 PM
61,52,09/23/2023 14:00,14,A,2100.0,9/23/2023 2:48:34 PM,9/23/2023 2:48:34 PM
62,52,09/23/2023 14:00,15,A,3700.0,9/23/2023 12:33:00 AM,9/23/2023 4:29:45 PM
63,52,09/23/2023 14:00,19,A,4800.0,9/23/2023 11:45:30 AM,9/23/2023 4:58:00 PM
64,52,09/23/2023 15:00,14,A,2100.0,9/23/2023 2:48:34 PM,9/23/2023 5:11:25 PM
65,52,09/23/2023 15:00,15,A,3700.0,9/23/2023 12:33:00 AM,9/23/2023 4:29:45 PM
66,52,09/23/2023 15:00,19,A,4800.0,9/23/2023 11:45:30 AM,9/23/2023 4:58:00 PM
67,52,09/23/2023 16:00,14,A,2100.0,9/23/2023 2:48:34 PM,9/23/2023 5:11:25 PM
68,52,09/23/2023 16:00,15,A,3700.0,9/23/2023 12:33:00 AM,9/23/2023 4:29:45 PM
69,52,09/23/2023 16:00,19,A,4800.0,9/23/2023 11:45:30 AM,9/23/2023 4:58:00 PM
70,52,09/23/2023 17:00,14,A,2100.0,9/23/2023 2:48:34 PM,9/23/2023 5:11:25 PM
71,52,09/23/2023 17:00,15,A,3700.0,9/23/2023 4:29:45 PM,9/23/2023 6:55:42 PM
72,52,09/23/2023 17:00,19,A,4800.0,9/23/2023 4:58:00 PM,9/23/2023 6:00:30 PM
73,52,09/23/2023 18:00,14,A,2100.0,9/23/2023 5:11:25 PM,9/23/2023 9:57:08 PM
74,52,09/23/2023 18:00,15,A,3700.0,9/23/2023 4:29:45 PM,9/23/2023 6:55:42 PM
75,52,09/23/2023 18:00,19,A,4800.0,9/23/2023 6:00:30 PM,9/25/2023 6:28:00 AM
76,52,09/23/2023 19:00,14,A,2100.0,9/23/2023 5:11:25 PM,9/23/2023 9:57:08 PM
77,52,09/23/2023 19:00,15,A,3700.0,9/23/2023 6:55:42 PM,9/23/2023 7:36:14 PM
78,52,09/23/2023 19:00,19,A,4800.0,9/23/2023 6:00:30 PM,9/25/2023 6:28:00 AM
79,52,09/23/2023 20:00,14,A,2100.0,9/23/2023 5:11:25 PM,9/23/2023 9:57:08 PM
80,52,09/23/2023 20:00,15,A,3700.0,9/23/2023 7:36:14 PM,9/23/2023 8:16:47 PM
81,52,09/23/2023 20:00,19,A,4800.0,9/23/2023 6:00:30 PM,9/25/2023 6:28:00 AM
82,52,09/23/2023 21:00,14,A,2100.0,9/23/2023 5:11:25 PM,9/23/2023 9:57:08 PM
83,52,09/23/2023 21:00,15,A,3700.0,9/23/2023 8:16:47 PM,9/24/2023 9:57:19 PM
84,52,09/23/2023 21:00,19,A,4800.0,9/23/2023 6:00:30 PM,9/25/2023 6:28:00 AM
85,52,09/23/2023 22:00,14,A,2100.0,9/23/2023 9:57:08 PM,9/24/2023 5:00:00 PM
86,52,09/23/2023 22:00,15,A,3700.0,9/23/2023 8:16:47 PM,9/24/2023 9:57:19 PM
87,52,09/23/2023 22:00,19,A,4800.0,9/23/2023 6:00:30 PM,9/25/2023 6:28:00 AM
88,52,09/23/2023 23:00,14,A,2100.0,9/23/2023 9:57:08 PM,9/24/2023 5:00:00 PM
89,52,09/23/2023 23:00,15,A,3700.0,9/23/2023 8:16:47 PM,9/24/2023 9:57:19 PM
