,Tank Farm,Line,Event Type,Event Date Time,Batch,Sup/Con,Tankage,Actual,Total,BPH,SuperBatch
53,ATJ,01,BATCHSTART,9/28/2023 12:21:48 PM,TOP-A-521,,,18500,18500,14923,JA1-A-521
54,ATJ,01,BATCHSTOP,9/28/2023 1:36:11 PM,TOP-A-521,,,0,0,0,JA1-A-521
55,ATJ,01,BATCHSTART,9/28/2023 1:36:11 PM,TRA-A-521,,,10000,10000,14923,JA1-A-521
56,ATJ,01,BATCHSTOP,9/28/2023 2:16:24 PM,TRA-A-521,,,0,0,0,JA1-A-521
57,ATJ,01,BATCHSTART,9/28/2023 2:16:24 PM,VAL-A-52D,,,4000,4000,14923,JA1-A-521
58,ATJ,01,BATCHSTOP,9/28/2023 2:32:28 PM,VAL-A-52D,,,0,0,0,JA1-A-521
59,ATJ,01,BATCHSTART,9/28/2023 2:32:28 PM,VAL-A-52E,,,66000,66000,14923,JA1-A-521
60,ATJ,01,BATCHSTOP,9/28/2023 6:57:50 PM,VAL-A-52E,,,0,0,0,JA1-A-521
61,ATJ,01,BATCHSTART,9/28/2023 6:57:50 PM,CIT-A-522,,,25000,25000,14923,JA1-A-521
62,ATJ,01,BATCHSTOP,9/28/2023 8:38:21 PM,CIT-A-522,,,0,0,0,JA1-A-521
63,ATJ,01,BATCHSTART,9/28/2023 8:38:21 PM,SHT-A-52B,,,143984,144000,14923,JA1-A-521
64,ATJ,01,BATCHSTOP,9/29/2023 6:17:16 AM,SHT-A-52B,,,0,0,0,JA1-A-521
65,ATJ,01,SUPERSTOP,9/29/2023 6:17:16 AM,JA1-A-521,,,0,0,0,None
66,ATJ,01,SUPERSTART,10/1/2023 12:26:16 AM,JA1-A-521,,,17500,17500,8500,JA1-A-521
67,ATJ,01,BATCHSTART,10/1/2023 12:26:16 AM,TAR-A-521,,,17500,17500,8500,JA1-A-521
68,ATJ,01,BATCHSTOP,10/1/2023 2:29:48 AM,TAR-A-521,,,0,0,0,JA1-A-521
69,ATJ,01,SUPERSTOP,10/1/2023 2:29:48 AM,JA1-A-521,,,0,0,0,None
70,ATJ,01,SUPERSTART,10/1/2023 10:51:20 AM,JA1-D-521,,,182004,182000,20784,JA1-D-521
71,ATJ,01,BATCHSTART,10/1/2023 10:51:20 AM,CIT-D-521,,,6500,6500,20784,JA1-D-521
72,ATJ,01,BATCHSTOP,10/1/2023 11:10:06 AM,CIT-D-521,,,0,0,0,JA1-D-521
73,ATJ,01,BATCHSTART,10/1/2023 11:10:06 AM,MAC-D-521,,,37500,37500,20784,JA1-D-521
74,ATJ,01,BATCHSTOP,10/1/2023 12:58:21 PM,MAC-D-521,,,0,0,0,JA1-D-521
75,ATJ,01,BATCHSTART,10/1/2023 12:58:21 PM,MOB-D-521,,,7500,7500,20784,JA1-D-521
76,ATJ,01,BATCHSTOP,10/1/2023 1:20:00 PM,MOB-D-521,,,0,0,0,JA1-D-521
77,ATJ,01,BATCHSTART,10/1/2023 1:20:00 PM,MTV-D-521,,,25000,25000,20784,JA1-D-521
78,ATJ,01,BATCHSTOP,10/1/2023 2:32:10 PM,MTV-D-521,,,0,0,0,JA1-D-521
79,ATJ,01,BATCHSTART,10/1/2023 2:32:10 PM,MUC-D-522,,,3500,3500,20784,JA1-D-521
80,ATJ,01,BATCHSTOP,10/1/2023 2:42:17 PM,MUC-D-522,,,0,0,0,JA1-D-521
81,ATJ,01,BATCHSTART,10/1/2023 2:42:17 PM,MXE-D-521,,,25000,25000,20784,JA1-D-521
82,ATJ,01,BATCHSTOP,10/1/2023 3:54:27 PM,MXE-D-521,,,0,0,0,JA1-D-521
83,ATJ,01,BATCHSTART,10/1/2023 3:54:27 PM,PHI-D-521,,,15000,15000,20784,JA1-D-521
84,ATJ,01,BATCHSTOP,10/1/2023 4:37:45 PM,PHI-D-521,,,0,0,0,JA1-D-521
85,ATJ,01,BATCHSTART,10/1/2023 4:37:45 PM,TAR-D-521,,,5000,5000,20784,JA1-D-521
86,ATJ,01,BATCHSTOP,10/1/2023 4:52:11 PM,TAR-D-521,,,0,0,0,JA1-D-521
87,ATJ,01,BATCHSTART,10/1/2023 4:52:11 PM,BPO-D-521,,,29500,29500,20784,JA1-D-521
88,ATJ,01,BATCHSTOP,10/1/2023 6:17:21 PM,BPO-D-521,,,0,0,0,JA1-D-521
89,ATJ,01,BATCHSTART,10/1/2023 6:17:21 PM,VAL-D-52D,,,15000,15000,20784,JA1-D-521
90,ATJ,01,BATCHSTOP,10/1/2023 7:00:39 PM,VAL-D-52D,,,0,0,0,JA1-D-521
91,ATJ,01,BATCHSTART,10/1/2023 7:00:39 PM,SHT-D-52B,,,12500,12500,20784,JA1-D-521
92,ATJ,01,BATCHSTOP,10/1/2023 7:36:44 PM,SHT-D-52B,,,0,0,0,JA1-D-521
93,ATJ,01,SUPERSTOP,10/1/2023 7:36:45 PM,JA1-D-521,,,0,0,0,None
94,ATJ,02,SUPERSTART,9/24/2023 9:26:14 AM,JA1-54-521,,,346980,347000,8303,JA1-54-521
95,ATJ,02,BATCHSTART,9/24/2023 9:26:14 AM,AAL-54-521,,,12500,12500,8303,JA1-54-521
96,ATJ,02,BATCHSTOP,9/24/2023 10:56:34 AM,AAL-54-521,,,0,0,0,JA1-54-521
97,ATJ,02,BATCHSTART,9/24/2023 10:56:34 AM,BZA-54-521,,,10000,10000,8303,JA1-54-521
98,ATJ,02,BATCHSTOP,9/24/2023 12:08:49 PM,BZA-54-521,,,0,0,0,JA1-54-521
