Line,Product,Volume
01,A,1417993.0
01,D,212153.00000000003
02,54,324007.0
02,62,364983.0
13,54,6000.0
13,62,57630.0
14,62,23540.000000000004
14,A,143975.0
15,A,195507.0
15,D,79002.00000000001
16,54,126528.0
17,A,155323.0
18,54,11500.0
18,62,59025.99999999999
18,A,380992.0
18,D,42997.0
19,A,388496.0
19,D,55500.0
1A,A,52044.00000000001
1A,D,9000.0
20,54,34992.0
20,62,29273.999999999996
2A,62,12499.0
