,Tank,Line,Product,Flag2,Time_min,Time_max,Volume,Start_Date_Time,Finish_Date_Time,Volume_Exists
58,339,01,A,12,54,58,99.428,2023-01-24 08:00:00,2023-01-24 13:00:00,4
59,339,01,A,13,62,71,213.34599999999998,2023-01-24 16:00:00,2023-01-25 02:00:00,4
60,339,13,A,68,38,38,10.0,2023-01-23 16:00:00,2023-01-23 17:00:00,4
61,339,13,A,69,41,41,3.773000000003435,2023-01-23 19:00:00,2023-01-23 20:00:00,4
62,339,14,A,70,58,72,36.105000000000004,2023-01-24 12:00:00,2023-01-25 03:00:00,4
63,339,14,A,71,99,104,13.850999999999999,2023-01-26 05:00:00,2023-01-26 11:00:00,4
64,339,15,A,72,27,27,3.552,2023-01-23 05:00:00,2023-01-23 06:00:00,4
65,339,15,A,73,34,95,227.50400000000002,2023-01-23 12:00:00,2023-01-26 02:00:00,4
66,339,17,A,74,131,131,4.805,2023-01-27 13:00:00,2023-01-27 14:00:00,4
67,339,17,A,75,135,135,4.805,2023-01-27 17:00:00,2023-01-27 18:00:00,4
68,339,17,A,76,137,137,4.805,2023-01-27 19:00:00,2023-01-27 20:00:00,4
69,339,18,A,77,53,70,102.888,2023-01-24 07:00:00,2023-01-25 01:00:00,4
70,339,19,A,78,34,41,30.232,2023-01-23 12:00:00,2023-01-23 20:00:00,4
71,339,19,A,79,46,86,164.82,2023-01-24 00:00:00,2023-01-25 17:00:00,4
72,352,02,54,14,68,74,62.032000000000004,2023-01-24 22:00:00,2023-01-25 05:00:00,3
73,352,02,54,15,90,91,15.78,2023-01-25 20:00:00,2023-01-25 22:00:00,3
74,352,16,54,80,96,98,6.798,2023-01-26 02:00:00,2023-01-26 05:00:00,3
75,352,16,54,81,129,132,8.48,2023-01-27 11:00:00,2023-01-27 15:00:00,3
76,352,16,54,82,177,201,53.337,2023-01-29 11:00:00,2023-01-30 12:00:00,3
77,352,18,54,83,126,126,6.667,2023-01-27 08:00:00,2023-01-27 09:00:00,3
78,352,20,54,84,130,130,1.562,2023-01-27 12:00:00,2023-01-27 13:00:00,3
79,353,02,54,16,75,77,25.968000000000004,2023-01-25 05:00:00,2023-01-25 08:00:00,19
80,353,02,54,17,92,97,55.69799999999999,2023-01-25 22:00:00,2023-01-26 04:00:00,19
81,353,16,54,85,117,128,25.44,2023-01-26 23:00:00,2023-01-27 11:00:00,19
82,353,16,54,86,133,144,25.44,2023-01-27 15:00:00,2023-01-28 03:00:00,19
83,353,16,54,87,158,176,40.555,2023-01-28 16:00:00,2023-01-29 11:00:00,19
84,353,20,54,88,128,129,3.124,2023-01-27 10:00:00,2023-01-27 12:00:00,19
85,353,20,54,89,147,149,4.686,2023-01-28 05:00:00,2023-01-28 08:00:00,19
86,354,02,54,18,78,89,100.808,2023-01-25 08:00:00,2023-01-25 20:00:00,2
87,354,02,54,19,98,98,8.713,2023-01-26 04:00:00,2023-01-26 05:00:00,2
88,354,16,54,90,99,116,39.093,2023-01-26 05:00:00,2023-01-26 23:00:00,2
89,354,16,54,91,145,157,27.560000000000002,2023-01-28 03:00:00,2023-01-28 16:00:00,2
90,354,18,54,92,124,125,13.334,2023-01-27 06:00:00,2023-01-27 08:00:00,2
91,354,20,54,93,131,146,24.992,2023-01-27 13:00:00,2023-01-28 05:00:00,2
92,354,20,54,94,150,151,3.124,2023-01-28 08:00:00,2023-01-28 10:00:00,2
93,376,02,62,20,105,181,917.5020000000001,2023-01-26 11:00:00,2023-01-29 16:00:00,0
94,376,13,62,95,119,171,102.5,2023-01-27 01:00:00,2023-01-29 06:00:00,0
95,376,14,62,96,138,170,67.485,2023-01-27 20:00:00,2023-01-29 05:00:00,0
96,376,17,62,97,108,117,64.045,2023-01-26 14:00:00,2023-01-27 00:00:00,0
97,376,17,62,98,124,134,46.30400000000002,2023-01-27 06:00:00,2023-01-27 17:00:00,0
98,376,17,62,99,144,150,20.434000000083,2023-01-28 02:00:00,2023-01-28 09:00:00,0
99,376,18,62,100,127,167,237.0,2023-01-27 09:00:00,2023-01-29 02:00:00,0
100,376,19,62,101,135,142,21.367,2023-01-27 17:00:00,2023-01-28 01:00:00,0
101,376,19,62,102,168,171,20.002000000000002,2023-01-29 02:00:00,2023-01-29 06:00:00,0
102,376,19,62,103,177,179,10.002,2023-01-29 11:00:00,2023-01-29 14:00:00,0
103,376,20,62,104,152,201,65.60000000000001,2023-01-28 10:00:00,2023-01-30 12:00:00,0
104,376,2A,62,105,105,121,137.732,2023-01-26 11:00:00,2023-01-27 04:00:00,0
105,376,2A,62,106,126,130,40.001,2023-01-27 08:00:00,2023-01-27 13:00:00,0
106,376,2A,62,107,172,174,20.001,2023-01-29 06:00:00,2023-01-29 09:00:00,0
