Rank,Tank,Line,Product,Flag2,Time_min,Time_max,Volume,Start_Date_Time,Finish_Date_Time,Volume_Exists
66,330,15,A,93,40,43,14.8,2023-09-23 21:00:00,2023-09-24 01:00:00,76.0
67,330,15,A,94,45,45,3.7,2023-09-24 02:00:00,2023-09-24 03:00:00,76.0
68,330,18,A,95,51,51,6.0,2023-09-24 08:00:00,2023-09-24 09:00:00,76.0
69,330,19,A,96,34,38,24.0,2023-09-23 15:00:00,2023-09-23 20:00:00,76.0
70,330,19,A,97,42,42,4.8,2023-09-23 23:00:00,2023-09-24 00:00:00,76.0
71,330,19,A,98,86,89,19.2,2023-09-25 19:00:00,2023-09-25 23:00:00,76.0
72,332,01,A,11,156,162,104.461,2023-09-28 17:00:00,2023-09-29 00:00:00,128.0
73,332,01,A,12,212,214,17.425,2023-10-01 01:00:00,2023-10-01 04:00:00,128.0
74,332,14,A,99,24,24,2.1,2023-09-23 05:00:00,2023-09-23 06:00:00,128.0
75,332,14,A,100,40,41,4.2,2023-09-23 21:00:00,2023-09-23 23:00:00,128.0
76,332,15,A,101,26,34,33.3,2023-09-23 07:00:00,2023-09-23 16:00:00,128.0
77,332,15,A,102,70,72,11.1,2023-09-25 03:00:00,2023-09-25 06:00:00,128.0
78,332,18,A,103,48,50,15.78,2023-09-24 05:00:00,2023-09-24 08:00:00,128.0
79,332,19,A,104,20,29,46.56,2023-09-23 01:00:00,2023-09-23 11:00:00,128.0
80,332,19,A,105,39,41,14.4,2023-09-23 20:00:00,2023-09-23 23:00:00,128.0
81,332,1A,A,106,225,225,0.493,2023-10-01 14:00:00,2023-10-01 15:00:00,128.0
82,334,01,A,13,54,54,14.923,2023-09-24 11:00:00,2023-09-24 12:00:00,26.0
83,334,14,A,107,16,16,2.1,2023-09-22 21:00:00,2023-09-22 22:00:00,26.0
84,334,14,A,108,25,35,23.1,2023-09-23 06:00:00,2023-09-23 17:00:00,26.0
85,334,17,A,109,104,105,9.0,2023-09-26 13:00:00,2023-09-26 15:00:00,26.0
86,334,19,A,110,92,92,4.8,2023-09-26 01:00:00,2023-09-26 02:00:00,26.0
