,Tank,Line,Product,Time,Volume,Time1,Time2,Flag,Flag2,Volume_actual,Volume_solution,Volume_diff,Mode,Volume_cum,Volume_cum_diff,Volume_real,Volume_removed
9,312,01,D,143,25.0,,1.0,,1,172,250.89999999999998,78.89999999999998,In,25.0,-53.89999999999998,0.0,25.0
8,312,01,D,142,25.0,1.0,1.0,,1,172,250.89999999999998,78.89999999999998,In,50.0,-28.899999999999977,0.0,25.0
7,312,01,D,141,25.0,1.0,1.0,,1,172,250.89999999999998,78.89999999999998,In,75.0,-3.8999999999999773,0.0,25.0
6,312,01,D,140,25.0,1.0,1.0,,1,172,250.89999999999998,78.89999999999998,In,100.0,21.100000000000023,21.100000000000023,3.8999999999999773
5,312,01,D,139,25.0,1.0,1.0,,1,172,250.89999999999998,78.89999999999998,In,125.0,46.10000000000002,25.0,0.0
4,312,01,D,138,25.0,1.0,1.0,,1,172,250.89999999999998,78.89999999999998,In,150.0,71.10000000000002,25.0,0.0
3,312,01,D,137,25.0,1.0,1.0,,1,172,250.89999999999998,78.89999999999998,In,175.0,96.10000000000002,25.0,0.0
2,312,01,D,136,25.89999999999998,1.0,1.0,,1,172,250.89999999999998,78.89999999999998,In,200.89999999999998,122.0,25.89999999999998,0.0
1,312,01,D,135,25.0,1.0,1.0,,1,172,250.89999999999998,78.89999999999998,In,225.89999999999998,147.0,25.0,0.0
0,312,01,D,134,25.0,1.0,,First,1,172,250.89999999999998,78.89999999999998,In,250.89999999999998,172.0,25.0,0.0
69,330,01,A,59,25.0,,1.0,,2,1424,1500.0,76.0,In,25.0,-51.0,0.0,25.0
68,330,01,A,58,25.0,1.0,1.0,,2,1424,1500.0,76.0,In,50.0,-26.0,0.0,25.0
67,330,01,A,57,25.0,1.0,1.0,,2,1424,1500.0,76.0,In,75.0,-1.0,0.0,25.0
66,330,01,A,56,25.0,1.0,1.0,,2,1424,1500.0,76.0,In,100.0,24.0,24.0,1.0
65,330,01,A,55,25.0,1.0,1.0,,2,1424,1500.0,76.0,In,125.0,49.0,25.0,0.0
64,330,01,A,54,25.0,1.0,1.0,,2,1424,1500.0,76.0,In,150.0,74.0,25.0,0.0
63,330,01,A,53,25.0,1.0,1.0,,2,1424,1500.0,76.0,In,175.0,99.0,25.0,0.0
62,330,01,A,52,25.0,1.0,1.0,,2,1424,1500.0,76.0,In,200.0,124.0,25.0,0.0
61,330,01,A,51,25.0,1.0,1.0,,2,1424,1500.0,76.0,In,225.0,149.0,25.0,0.0
60,330,01,A,50,25.0,1.0,1.0,,2,1424,1500.0,76.0,In,250.0,174.0,25.0,0.0
59,330,01,A,49,25.0,1.0,1.0,,2,1424,1500.0,76.0,In,275.0,199.0,25.0,0.0
58,330,01,A,48,25.0,1.0,1.0,,2,1424,1500.0,76.0,In,300.0,224.0,25.0,0.0
