,Line,Product,Time_min,Time_max,Order,Time_min_1,Time_max_1,Time_min_f,Time_max_f
0,01,A,0,110,2.0,0.0,111.0,0,110
1,01,D,111,131,1.0,110.0,131.0,111,131
2,02,54,0,52,2.0,0.0,53.0,0,52
3,02,62,53,131,1.0,52.0,131.0,53,131
4,13,54,0,28,2.0,0.0,33.0,0,30
5,13,62,33,131,1.0,28.0,131.0,31,131
7,14,A,0,56,3.0,0.0,57.0,0,56
8,14,D,57,72,2.0,56.0,76.0,57,73
6,14,62,76,130,1.0,72.0,130.0,74,131
9,15,A,1,95,2.0,1.0,96.0,1,95
10,15,D,96,131,1.0,95.0,131.0,96,131
11,16,54,0,123,1.0,0.0,123.0,0,131
13,17,A,0,66,2.0,0.0,69.0,0,67
12,17,62,69,129,1.0,66.0,129.0,68,131
16,18,A,0,60,4.0,0.0,61.0,0,60
17,18,D,61,65,3.0,60.0,68.0,61,66
14,18,54,68,68,2.0,65.0,73.0,67,70
15,18,62,73,129,1.0,68.0,129.0,71,131
18,19,A,0,117,2.0,0.0,121.0,0,118
19,19,D,121,131,1.0,117.0,131.0,119,131
20,1A,A,4,104,2.0,4.0,113.0,4,108
21,1A,D,113,126,1.0,104.0,126.0,109,131
22,20,54,0,32,2.0,0.0,34.0,0,32
23,20,62,34,120,1.0,32.0,120.0,33,131
24,2A,62,0,101,1.0,0.0,101.0,0,131
