Rank,Tank,Line,Product,Flag2,Time_min,Time_max,Volume,Start_Date_Time,Finish_Date_Time,Volume_Exists
66,339,13,A,71,27,29,10.002,2023-01-23 05:00:00,2023-01-23 08:00:00,0.0
67,339,13,A,72,71,73,5.718,2023-01-25 01:00:00,2023-01-25 04:00:00,0.0
68,339,14,A,73,59,74,38.96,2023-01-24 13:00:00,2023-01-25 05:00:00,0.0
69,339,15,A,74,19,29,40.106,2023-01-22 21:00:00,2023-01-23 08:00:00,0.0
70,339,15,A,75,38,39,7.292,2023-01-23 16:00:00,2023-01-23 18:00:00,0.0
71,339,15,A,76,56,57,7.13,2023-01-24 10:00:00,2023-01-24 12:00:00,0.0
72,339,17,A,77,105,136,131.978,2023-01-26 11:00:00,2023-01-27 19:00:00,0.0
73,339,17,A,78,138,141,18.676,2023-01-27 20:00:00,2023-01-28 00:00:00,0.0
74,339,18,A,79,60,71,67.349,2023-01-24 14:00:00,2023-01-25 02:00:00,0.0
75,339,18,A,80,78,79,11.786,2023-01-25 08:00:00,2023-01-25 10:00:00,0.0
76,339,18,A,81,127,128,10.0,2023-01-27 09:00:00,2023-01-27 11:00:00,0.0
77,339,19,A,82,60,71,52.656,2023-01-24 14:00:00,2023-01-25 02:00:00,0.0
78,339,19,A,83,86,87,8.776,2023-01-25 16:00:00,2023-01-25 18:00:00,0.0
79,352,02,54,19,72,84,144.891,2023-01-25 02:00:00,2023-01-25 15:00:00,6.0
80,352,02,54,20,88,98,131.129,2023-01-25 18:00:00,2023-01-26 05:00:00,6.0
81,352,14,54,84,21,22,6.0,2023-01-22 23:00:00,2023-01-23 01:00:00,6.0
82,352,14,54,85,73,76,20.714,2023-01-25 03:00:00,2023-01-25 07:00:00,6.0
83,352,14,54,86,90,90,10.0,2023-01-25 20:00:00,2023-01-25 21:00:00,6.0
84,352,16,54,87,83,141,126.528,2023-01-25 13:00:00,2023-01-28 00:00:00,6.0
85,352,17,54,88,79,79,10.0,2023-01-25 09:00:00,2023-01-25 10:00:00,6.0
86,352,17,54,89,83,85,30.0,2023-01-25 13:00:00,2023-01-25 16:00:00,6.0
87,352,19,54,90,80,83,40.0,2023-01-25 10:00:00,2023-01-25 14:00:00,6.0
88,352,19,54,91,87,87,10.0,2023-01-25 17:00:00,2023-01-25 18:00:00,6.0
89,352,20,54,92,97,103,10.206,2023-01-26 03:00:00,2023-01-26 10:00:00,6.0
90,352,2A,54,93,78,79,20.0,2023-01-25 08:00:00,2023-01-25 10:00:00,6.0
91,370,02,54,21,85,87,36.183,2023-01-25 15:00:00,2023-01-25 18:00:00,0.0
92,370,02,54,22,99,99,11.804,2023-01-26 05:00:00,2023-01-26 06:00:00,0.0
93,370,13,54,94,109,111,6.0,2023-01-26 15:00:00,2023-01-26 18:00:00,0.0
94,370,18,54,95,129,130,11.5,2023-01-27 11:00:00,2023-01-27 13:00:00,0.0
95,370,20,54,96,104,120,24.786,2023-01-26 10:00:00,2023-01-27 03:00:00,0.0
96,376,02,62,23,105,141,364.983,2023-01-26 11:00:00,2023-01-28 00:00:00,0.0
97,376,13,62,97,112,141,57.63,2023-01-26 18:00:00,2023-01-28 00:00:00,0.0
98,376,14,62,98,131,141,23.54,2023-01-27 13:00:00,2023-01-28 00:00:00,0.0
99,376,17,62,99,117,117,10.0,2023-01-26 23:00:00,2023-01-27 00:00:00,0.0
100,376,17,62,100,124,125,10.001,2023-01-27 06:00:00,2023-01-27 08:00:00,0.0
101,376,17,62,101,130,131,10.001,2023-01-27 12:00:00,2023-01-27 14:00:00,0.0
102,376,18,62,102,131,141,59.026,2023-01-27 13:00:00,2023-01-28 00:00:00,0.0
103,376,19,62,103,108,114,55.332,2023-01-26 14:00:00,2023-01-26 21:00:00,0.0
104,376,20,62,104,121,141,29.274,2023-01-27 03:00:00,2023-01-28 00:00:00,0.0
105,376,2A,62,105,125,128,12.499,2023-01-27 07:00:00,2023-01-27 11:00:00,0.0
