Code,Start Date/Time,End Date/Time,S/C,Tnk,Line,Volume,Tank,Product Grade,BTank,Volume_Tank,Rate,Operation Code - Comment,file,Start,End,Identifier,OJKLation Code - Comment,OGHIation Code - Comment,Client,Product,Cycle,Type,Time_difference,Time_in_hours,Vol_per_Hr,Exclude,Pick,Rank
JA1-D4-031,2023-01-25 18:44:00,2023-01-25 21:18:00,,,01,46.554,337,D4,310,45.042,18.111,Fill to Normal Fill and Switch,ATJ.2023.01.18.xlsx,2023-01-25 18:44:00,2023-01-25 21:18:00,JA1-D4-031//2023-01-25 18:44:00//2023-01-25 21:18:00//1,,,JA1,D,031,In,0 days 02:34:00,2.566666666666667,18.137922077922077,0,1.0,1
JA1-54-031,2023-01-25 02:59:00,2023-01-25 04:48:00,,,02,21.099,350,54,351,3.465,11.711,Fill to Normal Fill and Switch,ATJ.2023.01.18.xlsx,2023-01-25 02:59:00,2023-01-25 04:48:00,JA1-54-031//2023-01-25 02:59:00//2023-01-25 04:48:00//2,,,JA1,54,031,In,0 days 01:49:00,1.8166666666666667,11.614128440366972,0,1.0,1
JA1-54-031,2023-01-25 04:48:00,2023-01-25 07:35:00,,,02,32.679,351,54,352,4.506,11.711,Fill to Normal Fill and Switch,ATJ.2023.01.18.xlsx,2023-01-25 04:48:00,2023-01-25 07:35:00,JA1-54-031//2023-01-25 04:48:00//2023-01-25 07:35:00//2,,,JA1,54,031,In,0 days 02:47:00,2.783333333333333,11.740958083832336,0,1.0,1
JA1-54-031,2023-01-25 07:35:00,2023-01-25 14:20:00,,,02,79.049,352,54,353,5.398,11.711,Fill to Normal Fill and Switch,ATJ.2023.01.18.xlsx,2023-01-25 07:35:00,2023-01-25 14:20:00,JA1-54-031//2023-01-25 07:35:00//2023-01-25 14:20:00//2,,,JA1,54,031,In,0 days 06:45:00,6.75,11.710962962962965,0,1.0,1
JA1-54-031,2023-01-25 14:20:00,2023-01-25 23:36:00,,,02,108.547,353,54,354,6.431,11.711,Fill to Normal Fill and Switch,ATJ.2023.01.18.xlsx,2023-01-25 14:20:00,2023-01-25 23:36:00,JA1-54-031//2023-01-25 14:20:00//2023-01-25 23:36:00//2,,,JA1,54,031,In,0 days 09:16:00,9.266666666666667,11.713705035971222,0,1.0,1
JA1-54-031,2023-01-25 23:36:00,2023-01-26 06:39:00,,,02,82.626,354,54,354,13.823,11.711,Fill to Scheduled Volume and Close Out and Field Cut,ATJ.2023.01.18.xlsx,2023-01-25 23:36:00,2023-01-26 06:39:00,JA1-54-031//2023-01-25 23:36:00//2023-01-26 06:39:00//2,,,JA1,54,031,In,0 days 07:03:00,7.05,11.72,0,1.0,1
JA1-62-031,2023-01-26 11:30:00,2023-01-26 16:55:00,,,02,54.168,360,62,361,6.461,10.0,Fill to Normal Fill and Switch,ATJ.2023.01.18.xlsx,2023-01-26 11:30:00,2023-01-26 16:55:00,JA1-62-031//2023-01-26 11:30:00//2023-01-26 16:55:00//2,,,JA1,62,031,In,0 days 05:25:00,5.416666666666667,10.000246153846152,0,1.0,1
JA1-62-031,2023-01-26 16:55:00,2023-01-27 04:15:00,,,02,113.374,361,62,371,10.0,10.0,Fill to Normal Fill and Switch,ATJ.2023.01.18.xlsx,2023-01-26 16:55:00,2023-01-27 04:15:00,JA1-62-031//2023-01-26 16:55:00//2023-01-27 04:15:00//2,,,JA1,62,031,In,0 days 11:20:00,11.333333333333334,10.003588235294117,0,1.0,1
JA1-62-031,2023-01-27 04:15:00,2023-01-27 17:47:00,,,02,135.388,371,62,373,10.0,10.0,Fill to Normal Fill and Switch,ATJ.2023.01.18.xlsx,2023-01-27 04:15:00,2023-01-27 17:47:00,JA1-62-031//2023-01-27 04:15:00//2023-01-27 17:47:00//2,,,JA1,62,031,In,0 days 13:32:00,13.533333333333333,10.004039408866996,0,1.0,1
JA1-62-031,2023-01-27 17:47:00,2023-01-28 00:00:00,,,02,62.057,373,62,373,10.0,10.0,Fill to Scheduled Volume and Switch,ATJ.2023.01.18.xlsx,2023-01-27 17:47:00,2023-01-28 00:00:00,JA1-62-031//2023-01-27 17:47:00//2023-01-28 00:00:00//2,,,JA1,62,031,In,0 days 06:13:00,6.216666666666667,9.98235924932976,0,1.0,1
